EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG11034	tsr	P02942	g2367378	Serine chemoreceptor, methyl-accepting; MCP I; also senses repellents; flagellar regulon
EG11035	tsx	P0A927	g1786612	Outer membrane channel for nucleosides; receptor for phage T6 and colicin K
EG11036	tufA	P0A6N1	g1789737	EF-Tu, Elongation Factor-Translation, unstable; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin
EG11037	tufB	P0A6N1	g1790412	EF-Tu, Elongation Factor-Translation, unstable; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin
EG11038	tus	P16525	g1787895	DNA contrahelicase, terminus utilization substance
EG11039	tyrA	P07023	g1788952	Tyrosine synthesis: chorismate mutase/prephenate dehydratase
EG11040	tyrB	P04693	g1790488	Tyrosine aminotransferase; aromatic amino acid aminotransferase; phenylalanine aminotransferase; dicarboxylic amino acid aminotransferase; homodimeric
EG11041	tyrP	P0AAD4	g1788218	Tyrosine:H+ symport permease
EG11042	tyrR	P07604	g1787583	TyrR regulon repressor or activator; regulates aroF, aroG, tyrA, and aromatic amino acid transport; autoregulation of tyrR not mediated by tyrosine; ATPase activity; zinc-stimulated phosphatase activity
EG11043	tyrS	P0AGJ9	g1787925	Tyrosine--tRNA ligase
EG11044	ubiX	P0AG03	g1788650	3-octaprenyl-4-hydroxybenzoate carboxylyase; UbiD isozyme
EG11045	udp	P12758	g1790265	Uridine phosphorylase
EG11046	ugpA	P10905	g1789861	sn-Glycerol-3-phosphate transport system, integral membrane protein
EG11047	ugpB	P0AG80	g1789862	sn-Glycerol-3-phosphate transport system, periplasmic binding protein
EG11048	ugpC	P10907	g87082267	sn-Glycerol-3-phosphate transport system, ABC family permease
EG11049	ugpE	P10906	g1789860	sn-Glycerol-3-P transport system; membrane protein
EG11050	ugpQ	P10908	g1789858	Glycerophosphodiester phosphodiesterase; cytosolic
EG11051	uhpA	P0AGA6	g1790102	Response regulator of two component system required for uhpT transcription
EG11052	uhpB	P09835	g87082311	Membrane sensor kinase protein controlling UhpA activity
EG11053	uhpC	P09836	g87082310	Glc6P transporter; membrane sensor recognizing external glucose-6-phosphate (Glc6P) and, in concert with UhpB, inducing uhpT
EG11054	uhpT	P0AGC0	g2367259	Hexose phosphate permease; fosfomycin sensitivity; monomeric
EG11055	uidA	P05804	g1787903	beta-D-Glucuronidase
EG11056	umuC	P04152	g1787432	DNA polymerase V subunit, capable of translesion synthesis; polymerase activity subunit; UV induction of mutations, error-prone repair; forms complex with UmuD and UmuD'; intrinsic AP lyase activity; lexA regulon
EG11057	umuD	P0AG11	g1787431	DNA polymerase V subunit, capable of translesion synthesis; inducible mutagenesis; error-prone repair; UmuDC single-stranded binding protein with RecA-coated DNA; intrinsic AP lyase activity
EG11058	ung	P12295	g1788934	Uracil-DNA glycosylase; UDG excises uracil from DNA by base flipping mechanism; prefers ssDNA over dsDNA
EG11059	usg	P08390	g1788658	Aspartate-semialdehyde dehydrogenase paralog, function unknown
EG11060	ushA	P07024	g1786687	UDP-glucose hydrolase, 5'-nucleotidase, CDP-alcohol hydrolase; also has dinucleoside-polyphosphate hydrolase activity; periplasmic and exported enzyme; monomeric
EG11061	uvrA	P0A698	g2367343	Excision nuclease subunit A; nucleotide excision repair of UV damage to DNA; LexA regulon; binds Zn(II)
EG11062	uvrB	P0A8F8	g1786996	Excision nuclease subunit B, ATPase I and helicase II; repair of UV damage to DNA
EG11063	uvrC	P0A8G0	g87081999	Excision nuclease subunit C; repair of UV damage to DNA; multicopy causes mucoidy
EG11064	uvrD	P03018	g2367296	ATP-dependent 3'-5' DNA helicase II; unwinds forked DNA structures; dismantles the RecA nucleoprotein filament; increased rates of spontaneous mutagenesis; dimer
EG11065	uxaB	P0A6L7	g48994885	D-Altronate oxidoreductase; NAD cofactor; galacturonate branch of hexuronate pathway
EG11066	uxuA	P24215	g1790778	D-Mannonate dehydratase (hydrolase); Fe(2)-requiring; glucuronate branch of hexuronate pathway
EG11067	valS	P07118	g1790708	Valine--tRNA ligase
EG11068	vsr	P09184	g1788270	Mismatch nicking endonuclease, helps repair TG mismatches
EG11069	xerC	P0A8P6	g1790244	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific
EG11070	dsbC	P0AEG6	g1789260	Disulfide bond isomerase, periplasmic; chaperone; activated by DsbD; homodimeric
EG11071	xerD	P0A8P8	g1789261	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific
EG11072	xseA	P04994	g1788856	Exonuclease VII, large subunit
EG11073	xthA	P09030	g1788046	Exodeoxyribonuclease III and AP endodeoxyribonuclease VI; RNase H activity; DNA repair
EG11074	xylA	P00944	g1789988	D-Xylose isomerase
EG11075	xylB	P09099	g1789987	D-xylulose kinase
EG11076	xylE	P0AGF4	g1790463	Xylose/H+ symporter
EG11078	nhaR	P0A9G2	g1786202	Positive regulator of nhaA, Na(+)-dependent
EG11079	ribF	P0AG40	g1786208	Riboflavin kinase and FAD synthase, riboflavin biosynthesis
EG11080	fkpB	P0AEM0	g1786211	FKBP-type peptidyl-prolyl cis-trans isomerase
EG11081	ispH	P62623	g1786212	4-hydroxy-3-methylbut-2-enyl diphosphate reductase; last, branched, step of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) synthesis from 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate; alternative nonmevalonate (DXP) pathway for terp
EG11082	rihC	P22564	g1786213	Ribonucleoside hydrolase
EG11083	rapA	P60240	g1786245	RNA polymerase binding protein; mutants are UV-S; mutant biofilms have less polysaccharide and are antibiotic sensitive; ATPase and putative helicase
EG11084	mraZ	P22186	g1786269	Function unknown, MraZ family; expressed gene in dcw (division, cell wall) gene cluster
EG11085	rsmH	P60390	g1786270	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent; membrane-associated. expressed gene in dcw gene cluster; non-essential
EG11086	ftsL	P0AEN4	g1786271	Cell division and growth, membrane protein
EG11087	secM	P62395	g87081686	Secretion monitor controlling secA expression
EG11088	pdhR	P0ACL9	g1786303	Pyruvate dehydrogenase operon (pdhR-aceEF-lpd) repressor; autoregulatory; pyruvate relieves repression; monomeric
EG11089	yacC	P0AA95	g87081688	Expressed protein, function unknown, PulS_OutS family
EG11090	mtn	P0AF12	Null	5'-Methylthioadenosine nucleosidase; S-adenosylhomocysteine and 5'-deoxyadenosine are also substrates
EG11091	frsA	P04335	g1786434	Fermentation-respiration switch protein; PTS Enzyme IIAGlc-binding protein, binds unphosphorylated form; has pNP-butyrate esterase activity in vitro
EG11092	crl	P24251	g1786435	Sigma factor-binding protein, stimulates RNAP holoenzyme formation; stimulates RpoS activity during stationary phase; mutants display rpoS mutant phenocopy; mutant does not have reduced amount of RpoS protein
EG11093	yaiA	P0AAN5	g1786588	Function unknown
EG11094	sbcD	P0AG76	g1786598	DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; cosuppressor with sbcB of recB recC mutations; heterodimeric
EG11095	acpH	P21515	g1786605	Acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase
EG11096	yajC	P0ADZ7	g1786608	SecDFyajC membrane secretion complex subunit; assists the SecYE translocon to interact with SecA and export proteins
EG11097	yajD	P0AAQ2	g1786611	Function unknown, HNH family
EG11098	xseB	P0A8G9	g1786624	Exonuclease VII, small subunit
EG11099	ybaA	P0AAQ6	g1786661	Function unknown, DUF1428 family
EG11100	ybaB	P0A8B5	g1786677	DNA-binding protein, function unknown; homodimer; in recR operon; may be involved in DNA repair
EG11101	aes	P23872	g1786682	Short acyl chain and triacetyl glycerol esterase; affects maltose gene expression
EG11102	gsk	P0AEW6	g1786684	Inosine-guanosine kinase
EG11103	fimZ	P0AEL8	g1786747	Predicted fimbriae protein synthesis regulator
EG11104	entS	P24077	g1786806	Enterobactin exporter, iron-regulated; hyperlethality gene
EG11105	entH	P0A8Y8	g1786813	Thioesterase required for efficient enterobactin production; may correct misacylation of the aryl carrier protein domain of EntB
EG11107	ybdD	P0AAS9	g87081761	Function unknown, DUF466 family
EG11108	ybgA	P24252	g1786925	Function unknown, DUF1722 family
EG11109	mngR	P13669	g1786950	mngAB operon repressor, mannosyl glycerate utilization
EG11110	ybgC	P0A8Z3	g1786957	Acyl-CoA thioesterase, involved in phospholipid metabolism; binds ACP; acyl-ACP could be native substrate
EG11111	cspD	P0A968	g1787107	Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced
EG11112	aat	P0A8P1	g1787111	Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease
EG11113	yccA	P0AAC6	g1787205	HflBKC-binding inner membrane protein, UPF0005 family; UPF0005 family; mutant YccA stabilizes SecY(Ts); suppression requires HflKC; YccA is a native substrate for the FtsH(HflB) protease
EG11114	yccB	P24244	Null	Expressed protein, function unknown; predicted transmembrane domain
EG11116	yceA	P24188	g1787294	Predicted rhodanese, function unknown
EG11117	yceB	P0AB26	g1787302	Novel verified lipoprotein, DUF1439 family, function unknown
EG11118	rluC	P0AA39	g1787327	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580
EG11119	yceD	P0AB28	g1787329	Function unknown, DUF177 family
EG11120	tfaE	P09153	g1787402	Predicted tail fiber assembly gene, e14 prophage
EG11121	yciA	P0A8Z0	g1787506	Acyl-CoA esterase, role unknown
EG11122	yciB	P0A710	g1787507	Involved in intracellular septation in Shigella
EG11123	yciC	P21365	g1787508	Function unknown, UPF0259 family
EG11124	ompW	P0A915	g1787510	Outer membrane protein W; colicin S4 receptor
EG11125	yciE	P21363	g1787511	Function unknown, rubrerythrin/ferritin-like putative metal-binding protein
EG11126	yciF	P21362	g1787512	Function unknown, H-NS repressed; dimeric; rubrerythrin/ferritin-like putative metal-binding protein
EG11127	yciG	P21361	g87081862	Required for swarming phenotype, function unknown
EG11128	yciH	P08245	g87081867	Mimics some initiation factor functions, binds 30S subunit; SUI1 family; eIF1 homolog
EG11129	rem	P07010	g1787844	Function unknown, Qin prophage; downstream of relF gene
EG11130	hokD	P0ACG6	g1787845	Small toxic membrane polypeptide, Qin prophage; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG11131	relE	P0C077	g1787846	Sequence-specific mRNA endoribonuclease, Qin prophage; toxin-antitoxin (TA) pair RelEB, RelE inhibitor of translation cleaves mRNA in A site; binds to its antitoxin RelB and to ribosomes; co-repressor of relB operon transcription; stress-induced
EG11132	ppsR	P0A8A4	g1787995	PEP synthase regulatory protein PSRP; bifunctional PEP synthase kinase, ADP-dependent, and PEP synthase pyrophosphorylase, Pi-dependent; tetrameric; DUF299 family
EG11133	nlpC	P23898	g1788001	Predicted peptidase, C40 clan, function unknown, lipoprotein
EG11134	ydjA	P0ACY1	g1788063	Putative nitroreductase, function unknown, binds FMN; low abundance protein
EG11135	pncA	P21369	g87081970	Pyrazinamidase/nicotinamidase
EG11136	yebB	P24238	g87081991	Function unknown, DUF830 family
EG11137	yebC	P0A8A0	g1788171	Function unknown, expressed protein, UPF0082 family
EG11138	nudB	P0AFC0	g1788172	Dihydroneopterin triphosphate pyrophosphohydrolase; early step in folate synthesis 
EG11139	yecA	P0AD05	g1788219	Function unknown, UPF0149 family
EG11140	uvrY	P0AED5	g1788222	Response regulator, pleiotrpic; controls the expression of csrB/C sRNAs; hydrogen peroxide resistance; cognate sensorregulator is BarA
EG11141	yedA	P0AA70	g1788269	Predicted transporter, inner membrane protein, DMT superfamily, function unknown
EG11142	yfaA	P17994	g87082069	Conserved protein, DUF2138 family, function unknown
EG11143	ubiG	P17993	g1788564	SAM:OMHMB methyltransferase; Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octaprenyl-6-methoxyphenol; 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone to ubiquinone 8
EG11144	yfcA	P0AD30	g1788667	Inner membrane protein, UPF0721 family, function unknown
EG11145	yfeA	P23842	g87082096	Predicted c-di-GMP dual activity enzyme, function unknown
EG11146	xapR	P23841	g2367136	Regulatory gene for xapAB
EG11147	yffB	P24178	g1788815	Predicted reductase, function unknown, ArsC family; low abundance protein
EG11149	gcvR	P0A9I3	g87082113	Required for repression of gcv operon by GcvA; GcvA-GcvR repressor complex disrupted by glycine binding to GcvR
EG11150	hyfA	P23481	g87082114	Hydrogenase 4 component A, ferrodexin-like
EG11151	raiA	P0AD49	g1788949	Protein Y, associated with 30S ribosomal subunit; inhibits 70S dimer formation; stabilizes the ribosomal 70S complex against dissociation at low magnesium ion concentrations; counteracts miscoding under stress conditions 
EG11152	yfiB	P07021	g1788957	Probable positive effector of YfiN activity, OM lipoprotein
EG11153	rimM	P0A7X6	g87082136	Factor required for 16S RNA processing; 30S maturation; binds S19
EG11154	ppdC	P08372	g1789187	Required for swarming phenotype, function unknown; first 10 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG11155	ygdB	P08370	g87082164	Function unknown, DUF2509 family
EG11156	ppdB	P08371	g1789189	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotraxis; first 7 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG11157	ygeA	P03813	g1789205	Function unknown, Asp/Glu_racemase family
EG11158	ygfA	P0AC28	g1789278	Function unknown, 5-formyltetrahydrofolate cyclo-ligase family; expressed second gene in ssrS operon
EG11159	argO	P11667	g1789290	Arginine exporter
EG11160	mscS	P0C0S1	g1789291	Mechanosensitive channel protein, intermediate conductance; heptameric
EG11161	yggC	P11664	g1789296	Predicted kinase, function unknown
EG11162	yggD	P11663	g1789297	Predicted transcriptional regulator, function unknown
EG11164	ygiB	P0ADT2	g87082200	Probable lipoprotein, function unknown, UPF0441 family; conserved lipobox
EG11165	ygiC	P0ADT5	g1789416	Glutathionylspermidine synthase paralog, function unknown
EG11166	ygiD	P24197	g1789417	Predicted dioxygenase, LigB family, function unknown
EG11167	zupT	P0A8H3	g1789419	Zinc and other divalent cation uptake transporter
EG11168	ttdA	P05847	g1789442	L-Tartrate dehydratase alpha subunit
EG11169	ttdB	P0AC35	g1789443	L-Tartrate dehydratase beta subunit
EG11171	ygjD	P05852	g1789445	Involved in genome maintenance, essential gene; Gcp glycoprotease homolog
EG11172	tdcD	P11868	g1789503	Propionate kinase, anaerobic; non-essential gene
EG11173	yhaB	P11865	g87082215	Function unknown
EG11174	yhaC	P11864	g1789509	Function unknown
EG11175	garK	P23524	g1789512	Glycerate kinase, glycerate- or glucarate-inducible; GK1; produces 2-phosphoglycerate
EG11176	garR	P0ABQ2	g87082216	Tartronate semialdehyde reductase, glycerate- or galactarate-inducible
EG11177	truB	P60340	g2367200	tRNA U55 pseudouridine synthase
EG11178	rbfA	P0A7G2	g1789558	Ribosome binding factor required for efficient processing of 16s rRNA; cold-shock adaptation protein; overexpression suppresses cold-sensitive 16S rRNA
EG11179	rimP	P0A8A8	g87082222	Factor required for maturation of 30S ribosomal subunits
EG11180	mscL	P0A742	g1789686	Mechanosensitive channel protein, high conductance; homopentameric
EG11181	bfd	P0AE56	g1789735	Bacterioferritin-associated ferredoxin; predicted redox component complexing with Bfr in iron storage and mobility [2Fe-2S]
EG11182	yhfA	P0ADX1	g1789755	Function unknown, OsmC family
EG11183	damX	P11557	g1789790	Cell division protein, binds septal ring
EG11184	yhhA	P0ADX7	g1789857	Function unknown, DUF2756 family
EG11186	yiaA	P0ADJ8	g87082292	Inner membrane protein, YiaAB family, function unknown
EG11187	yibA	P0ADK6	g1790021	Hyperlethality gene, contains one HEAT-like motif
EG11188	yibB	P25666	g87082299	Conserved protein, pfam09612 family, function unknown
EG11189	rfaC	P24173	g1790051	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO
EG11190	coaD	P0A6I6	g1790065	Phosphopantetheine adenylyltransferase
EG11191	slmA	P0C093	g87082302	Division inhibitor that binds FtsZ and blocks septal rings; DNA-associated
EG11192	yicC	P23839	g1790075	Function unknown, UPF0701 family
EG11193	dinD	P23840	g87082303	Damage inducible, function unknown
EG11194	xanP	P0AGM9	g1790087	Xanthine permease
EG11195	yidA	P0A8Y5	g2367265	Erythrose 4-P and mannose 1-P phosphatase; alpha-D-glucose-1-P phosphatase, anomer-specific; phosphoramidase; physiological role unknown; additional in vitro substrates include: ribose-5-P, fructose-1-P, fructose-6-P, glucose-6-P, acetyl phosphate; HAD13
EG11196	yidB	P09996	g87082321	Function unknown, DUF937 family
EG11197	yidC	P25714	g1790140	Membrane protein insertase; inner membrane protein integration factor; binds TM regions of nascent IMPs; required for Sec-independent IMP integration; associated with the Sec translocase
EG11198	glmU	P0ACC7	g1790168	Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-phosphate uridylyltransferase
EG11199	mioC	P03817	g1790181	Required for biotin synthase activity in vitro; flavodoxin-like FMN-binding protein; transcription of mioC through oriC may have physiological significance in suboptimal conditions
EG11201	yigA	P23305	g1790243	Function unknown, DUF484 family
EG11202	yigB	P0ADP0	g2367295	FMN phosphatase; physiological role unknown; HAD7
EG11203	yihA	P0A6P7	g87082340	GTP-binding protein required for normal cell division; predicted GTPase; also binds GDP
EG11204	murI	P22634	g87082355	Glutamate racemase, D-glutamate synthesis
EG11205	murB	P08373	g1790407	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding
EG11206	yjaA	P09162	g1790441	Conserved stress-induced protein, function unknown; involved in peroxide and acid resistance
EG11207	yjaB	P09163	g1790442	Predicted acetyltransferase; transcribed divergently from a promoter that overlaps the metA promoter
EG11208	arpA	P23325	g1790447	Ankyrin repeat protein, function unknown
EG11209	psiE	P0A7C8	g1790462	Pho regulon, regulated by phoB and cAMP
EG11210	yjdA	P16694	g1790548	Mutational suppressor of yhjH motility defect, function unknown; Dynamin GTPase superfamily
EG11211	poxA	P0A8N7	g87082379	Regulator of poxB; mutants are hypersensitive to sulfometuron methyl, alpha-keto butyrate, and many amino acid analogs; slow growth rate; hypersensitivity to many antibiotics and dyes
EG11212	nsrR	P0AF63	g1790621	Nitric oxide-sensitive repressor; regulates hmp, ygbA, ytfE, tehA and hcp-hcr
EG11214	yjjA	P18390	g87082434	Predicted secreted protein, function unknown
EG11215	yjjB	P0ADD2	g1790825	Function unknown; expressed P14 protein upstream of dnaTC; putative membrane protein with 4 TM helices
EG11217	creA	P0AE91	g1790859	Predicted secreted protein, function unknown
EG11218	creB	P08368	g1790860	Response regulator for CreBC regulon; induced by growth in minimal medium
EG11219	ydcA	P0ACW4	g1787688	Function unknown
EG11221	zwf	P0AC53	g1788158	Glucose-6-phosphate 1-dehydrogenase
EG11222	alkA	P04395	g1788383	3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine
EG11223	argH	P11447	g1790398	Argininosuccinate lyase
EG11224	fliO	P22586	g87082005	Flagellin export apparatus, integral membrane protein
EG11225	dcuA	P0ABN5	g1790580	C4-dicarboxylate transporter, anaerobic
EG11226	leuA	P09151	g1786261	alpha-Isopropylmalate synthase
EG11227	fdnG	P24183	g3868719	Formate dehydrogenase-N, selenopeptide, anaerobic; periplasmic
EG11228	fdnH	P0AAJ3	g1787749	Formate dehydrogenase-N, Fe-S subunit, anaerobic; periplasmic
EG11229	fdnI	P0AEK7	g1787750	Formate dehydrogenase-N, cytochrome subunit, anaerobic
EG11230	melR	P0ACH8	g1790559	Transcriptional activator for melAB, AraC family; autoregulatory repressor in absence of co-activator melibiose
EG11231	rpmI	P0A7Q1	g1788010	50S ribosomal subunit protein A (L35)
EG11232	rpmJ	P0A7Q6	g1789695	50S ribosomal subunit protein X (L36)
EG11233	rstB	P18392	g1787894	Sensory histidine kinase in two-component regulatory system with RstA
EG11234	ydiB	P0A6D5	g1787983	Quinate/shikimate dehydrogenase, NAD(P)-dependent
EG11235	rhlE	P25888	g1787016	ATP-dependent RNA helicase, in RNA degradasome
EG11236	yahA	P21514	g1786507	c-di-GMP-specific phosphodiesterase, PDE-A; reaction product is 5'pGpG; dependent on Mg+2 or Mn+2, Ca+2 inhibitory; optimum pH 9.35; monomeric
EG11237	chiA	P13656	g1789736	Periplasmic endochitinase/lysozyme, Hns-repressible
EG11238	ybhB	P12994	g1786990	Raf kinase inhibitor RKIP homolog, function unknown; UPF0098 family; cyoplasmic protein
EG11239	ybhA	P21829	g1786982	Pyridoxal phosphate (PLP) phosphatase; phosphoramidase; physiological role unknown; HAD14
EG11240	hokB	P77494	g48994884	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG11241	ycaC	P21367	g1787124	Predicted hydrolase, isochorismatase family, function unknown; homologous to pyrazinamidase and carbamoylsarcosine amidohydrolase; homooctamer
EG11242	ycaD	P21503	g1787126	Predicted transporter, MFS-type, inner membrane protein; function unknown
EG11244	yggE	P0ADS6	g1789289	Oxidative stress defense, DUF541 family, mechanism unknown
EG11245	yggF	P21437	g1789298	Fructose 1,6 bisphosphatase activity
EG11246	uspE	P0AAC0	g1787594	Stress-induced protein; UV-resistance; tandem Usp domains
EG11247	rumA	P55135	g1789148	23S rRNA m(5)U1939 methyltransferase, SAM-dependent
EG11249	mazF	P0AE70	g1789145	mRNA interferase toxin, antitoxin is MazE; inhibitor of translation by mRNA cleavage
EG11250	chpS	P08365	g87082393	ChpS antitoxin, toxin is ChpB
EG11251	ychA	P0AGM5	g1787465	Salmonella sirB1 ortholog, function unknown
EG11252	mukE	P22524	g1787153	Chromosome condensin MukBEF, MukE subunit
EG11253	ycbB	P22525	g1787155	Murein L,D-transpeptidase, periplasmic
EG11254	rlmH	P0A8I8	g1786855	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent
EG11255	ybeB	P0AAT6	g87081768	Ribosome-associated protein, Iojap family, function unknown
EG11256	iraP	P0AAN9	g1786581	Anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein
EG11257	adrA	P0AAP1	g1786584	Cellulose, biofilm, motility regulator, diguanylate cyclase; CsgD-regulated; membrane protein
EG11258	focA	P0AC23	g1787132	Formate channel; mutants are hypophosphite resistance and have elevated intracellular formate and reduced excreted formate
EG11259	rnr	P21499	g87082383	Exoribonuclease R, RNase R
EG11260	yifB	P22787	g1790201	Competence Mg chelatase ComM homolog, function unknown
EG11261	nfsA	P17117	g1787075	Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric
EG11262	tsgA	P60778	g1789764	Putative transporter, tellurite-inducible, function unknown; also induced by selenite
EG11263	gspB	P03825	g1789719	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA, requires gspAB operon
EG11265	cmk	P0A6I0	g1787139	Cytidylate kinase; multicopy suppressor of UMP kinase mutations
EG11266	yibD	P11290	g1790044	Predicted glycosyltransferase, function unknown; basRS regulon
EG11267	yiaB	P11286	g87082293	Inner membrane protein, YiaAB family, function unknown
EG11268	fmt	P23882	g1789683	Methionyl-tRNA formyltransferase
EG11269	hisL	P60995	g1788329	his operon leader peptide
EG11270	ilvL	P62522	g1790202	ilvG operon leader peptide
EG11271	pheL	P0AD72	g1788950	pheA gene regulatory leader peptide
EG11272	pheM	P0AD74	g1788008	pheST operon regulatory leader peptide
EG11274	trpL	P0AD92	g1787519	Regulatory leader peptide for trp operon
EG11275	ivbL	P03061	g1790106	ilvB operon leader peptide
EG11276	tnaC	P0AD89	g1790143	Regulatory leader peptide for tna operon
EG11277	thrL	P0AD86	g1786182	Regulatory leader peptide for thrABC operon
EG11279	pyrL	P0AD83	g1790694	pyrBI operon regulatory leader peptide
EG11280	leuL	P0AD79	g1786263	leu operon leader peptide
EG11281	mutL	P23367	g1790612	Methyl-directed mismatch repair; matchmaker protein; weak DNA-stimulated ATPase
EG11282	hyfB	P23482	g1788827	Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system
EG11283	phnE'	P16683	g87082370	Pseudogene reconstruction, phosphonate permease
EG11284	fabZ	P0A6Q6	g1786377	3R-hydroxymyristoyl acyl carrier protein (ACP) dehydratase
EG11285	glrR	P0AFU4	g1788905	Response regulator regulating glmY sRNA;  cognate histidine sensor kinase is GlrK(QseE)
EG11286	argE	P23908	g1790395	Acetylornithine deacetylase
EG11287	ygbA	P25728	g1789088	Function unknown
EG11288	mak	P23917	g87081733	Cryptic manno(fructo)kinase
EG11289	yeiA	P25889	g87082059	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit C; pyrimidine metabolism; required for swarming phenotype
EG11290	yeiB	P25747	g1788475	Predicted inner membrane protein, function unknown
EG11291	yggG	P25894	g87082185	Heat shock protein binds Era; predicted metalloprotease lipoprotein; Cys in lipobox conserved; M48 family
EG11292	yghA	P0AG84	g1789378	Predicted oxidoreductase , function unknown
EG11293	lolB	P61320	g1787460	OM lipoprotein required for localization of lipoproteins; essential gene
EG11294	ispE	P62615	g1787459	4-diphosphocytidyl-2-C-methylerythritol kinase; isopentenyl phosphate kinase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene
EG11295	wzzE	P0AG00	g87082332	Enterobacterial common antigen ECA chain length determination; also involved in cyclic enterobacterial common antigen ECA(CYC) synthesis
EG11296	radA	P24554	g1790850	Sensitivity to gamma and UV radiation
EG11297	dsbA	P0AEG4	g1790291	Thiol:disulfide interchange protein, periplasmic; alkali-inducible
EG11298	yhdE	P25536	g1789646	Function unknown; homologous to B. subtilis maf; yceF paralog
EG11299	rng	P0A9J0	g87082235	Endoribonuclease G involved in 16S rRNA processing; division and growth, overexpression forms minicells and chains with long axial structures
EG11300	ydfA	P0ACW8	g1787854	Function unknown, Qin prophage
EG11301	ydfB	P29009	g87081937	Expressed protein, function unknown, Qin prophage
EG11302	ydfC	P21418	g1787856	Conserved protein, function unknown, Qin prophage
EG11303	ydfD	P29010	g1787858	Function unknown, Qin prophage
EG11304	ydfE'	Q47138	g1787859	Pseudogene, N-terminal fragment, Qin prophage
EG11305	tatE	P0A843	g1786845	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins
EG11306	lipA	P60716	g1786846	Lipoyl synthase, iron-sulfur protein; SAM-dependent chemistry
EG11307	ydbA'	P33666	g87081898	Pseudogene reconstruction, autotransporter homolog; interrupted by IS2D and IS30C; reported to be required for swarming phenotype
EG11309	ydbC	P25906	g1787674	Predicted oxidoreductase, NAD(P)-binding, function unknown
EG11310	ydbD	P25907	g87081900	Function unknown
EG11311	dusB	P0ABT5	g1789660	tRNA-dihydrouridine synthase B
EG11312	yicR	P25531	g87082300	Function unknown, UPF0758 family
EG11313	rhaT	P27125	g1790341	Rhamnose permease; L-rhamnose-H+ symporter, membrane protein
EG11314	purB	P0AB89	g1787376	Adenylosuccinate lyase, purine synthesis
EG11315	yhdH	P26646	g1789651	Putative quinone oxidoreductase, function unknown
EG11316	malS	P25718	g1789995	alpha-Amylase, periplasmic
EG11317	fabD	P0AAI9	g1787334	Malonyl-CoA-acyl carrier protein transacylase
EG11318	fabG	P0AEK2	g1787335	beta-Ketoacyl-ACP reductase
EG11319	galU	P0AEP3	g1787488	Glucose-1-P uridylyltransferase; also called UDP-glucose pyrophosphorylase
EG11320	nrdR	P0A8D0	g1786615	Nrd regulon repressor
EG11321	ribD	P25539	g1786616	Bifunctional enzyme for second and third steps in riboflavin biosynthesis; 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate deaminase; ribosyl reductase
