EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG10864	rplA	P0A7L0	g1790416	50S ribosomal subunit protein L1
EG10865	rplB	P60422	g1789713	50S ribosomal subunit protein L2; binds Zn(II)
EG10866	rplC	P60438	g1789716	50S ribosomal subunit protein L3
EG10867	rplD	P60723	g1789715	50S ribosomal subunit protein L4; erythromycin sensitivity
EG10868	rplE	P62399	g1789704	50S ribosomal subunit 5S rRNA-binding protein L5
EG10869	rplF	P0AG55	g1789701	50S ribosomal subunit protein L6; gentamicin sensitivity
EG10870	rplI	P0A7R1	g1790647	50S ribosomal subunit protein L9
EG10871	rplJ	P0A7J3	g1790417	50S ribosomal subunit protein L10; streptomycin resistance
EG10872	rplK	P0A7J7	g2367334	50S ribosomal subunit protein L11; kasugamycin sensitivity
EG10873	rplL	P0A7K2	g1790418	50S ribosomal subunit protein L7/L12
EG10874	rplM	P0AA10	g1789626	50S ribosomal subunit protein L13; binds Zn(II)
EG10875	rplN	P0ADY3	g1789706	50S ribosomal subunit protein L14
EG10876	rplO	P02413	g1789697	50S ribosomal subunit protein L15
EG10877	rplP	P0ADY7	g1789709	50S ribosomal subunit protein L16
EG10878	rplQ	P0AG44	g1789689	50S ribosomal subunit protein L17
EG10879	rplR	P0C018	g1789700	50S ribosomal subunit 5S rRNA-binding protein L18
EG10880	rplS	P0A7K6	g1788958	50S ribosomal subunit protein L19
EG10881	rplT	P0A7L3	g1788009	50S ribosomal subunit protein L20
EG10882	rplV	P61175	g1789711	50S ribosomal subunit protein L22; erythromycin sensitivity
EG10883	rplW	P0ADZ0	g1789714	50S ribosomal subunit protein L23
EG10884	rplX	P60624	g1789705	50S ribosomal subunit protein L24
EG10885	rplY	P68919	g1788512	50S ribosomal subunit 5S rRNA-binding protein L25
EG10886	rpmB	P0A7M2	g1790068	50S ribosomal subunit protein L28
EG10887	rpmC	P0A7M6	g1789708	50S ribosomal subunit protein L29
EG10888	rpmD	P0AG51	g1789698	50S ribosomal subunit protein L30
EG10889	rpmE	P0A7M9	g1790371	50S ribosomal subunit protein L31
EG10890	rpmF	P0A7N4	g1787330	50S ribosomal subunit protein L32
EG10891	rpmG	P0A7N9	g1790067	50S ribosomal subunit protein L33
EG10892	rpmH	P0A7P5	g1790138	50S ribosomal subunit protein L34
EG10893	rpoA	P0A7Z4	g1789690	RNA polymerase, alpha subunit; binds Zn(II)
EG10894	rpoB	P0A8V2	g1790419	RNA polymerase, beta subunit; binds Zn(II)
EG10895	rpoC	P0A8T7	g2367335	RNA polymerase, beta' subunit; binds Zn(II)
EG10896	rpoD	P00579	g1789448	RNA polymerase subunit, sigma 70, initiates transcription; housekeeping sigma
EG10897	rpoH	P0AGB3	g1789871	RNA polymerase subunit, sigma 32, heat shock transcription
EG10898	rpoN	P24255	g1789594	RNA polymerase subunit, sigma 54; needed for expression of various regulons, promoter specificity set by various activator proteins required for sigma 54 recruitment
EG10899	rpoZ	P0A800	g1790081	RNA polymerase subunit, omega subunit; assembly factor; chaperone-like function stabilizes RNAP
EG10900	rpsA	P0AG67	g1787140	30S ribosomal subunit protein S1; subunit of RNA phage Qbeta replicase; binds and stimulates RNAP
EG10901	rpsB	P0A7V0	g1786365	30S ribosomal subunit protein S2; binds Zn(II)
EG10902	rpsC	P0A7V3	g1789710	30S ribosomal subunit protein S3
EG10903	rpsD	P0A7V8	g1789691	30S ribosomal subunit protein S4; NusA-like antitermination factor
EG10904	rpsE	P0A7W1	g1789699	30S ribosomal subunit protein S5
EG10905	rpsF	P02358	g1790644	30S ribosomal subunit protein S6; suppressor of dnaG-Ts
EG10906	rpsG	P02359	g1789739	30S ribosomal subunit protein S7
EG10907	rpsH	P0A7W7	g1789702	30S ribosomal subunit protein S8
EG10908	rpsI	P0A7X3	g1789625	30S ribosomal subunit protein S9
EG10909	rpsJ	P0A7R5	g1789717	30S ribosomal subunit protein S10
EG10910	rpsK	P0A7R9	g1789692	30S ribosomal subunit protein S11
EG10911	rpsL	P0A7S3	g1789740	30S ribosomal subunit protein S12; RNA chaperone
EG10912	rpsM	P0A7S9	g1789693	30S ribosomal subunit protein S13
EG10913	rpsN	P0AG59	g1789703	30S ribosomal subunit protein S14
EG10914	rpsO	P0ADZ4	g1789556	30S ribosomal subunit protein S15
EG10915	rpsP	P0A7T3	g1788961	30S ribosomal subunit protein S16; endonuclease
EG10916	rpsQ	P0AG63	g1789707	30S ribosomal subunit protein S17
EG10917	rpsR	P0A7T7	g1790646	30S ribosomal subunit protein S18
EG10918	rpsS	P0A7U3	g1789712	30S ribosomal subunit protein S19
EG10919	rpsT	P0A7U7	g1786206	30S ribosomal subunit protein S20
EG10920	rpsU	P68679	g1789446	30S ribosomal subunit protein S21
EG10921	ftnA	P0A998	g1788216	Ferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer
EG10922	coaA	P0A6I3	g1790409	Pantothenate kinase
EG10923	ruvA	P0A809	g1788168	Holliday junction recognition factor, recruits RuvB; works in conjunction with RuvB helicase to drive branch migration during recombination
EG10924	ruvB	P0A812	g1788167	DNA helicase driving branch migration during recombination; hexameric ring
EG10925	ruvC	P0A814	g1788170	RuvC endonuclease, Holliday structure resolvase; not SOS regulated
EG10926	sbcB	P04995	g1788321	Exonuclease I; suppresses recB recC mutations
EG10927	sbcC	P13458	g1786597	DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; required for recombinational repair of dsDNA breaks; cosuppressor with sbcB of recB recC mutations; heterodimeric
EG10928	sbmA	P0AFY6	g1786575	Microcin B17 transporter, inner membrane
EG10929	sbp	P0AG78	g1790351	Periplasmic sulfate-binding protein
EG10930	sdaA	P16095	g1788116	L-Serine deaminase I; L-SD2
EG10931	sdhA	P0AC41	g1786942	Succinate dehydrogenase (SQR) flavoprotein subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration
EG10932	sdhB	P07014	g1786943	Succinate dehydrogenase (SQR) iron-sulfur protein; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration
EG10933	sdhC	P69054	g1786940	Succinate dehydrogenase (SQR) cytochrome b556; membrane anchor; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration
EG10934	sdhD	P0AC44	g1786941	Succinate dehydrogenase (SQR) hydrophobic subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration
EG10935	sdiA	P07026	g1788224	Quorum-sensing ftsQAZ-P2, acrABCDE transcriptional activator; fluoroquinolone resistance; overproduction confers drug resistance by stimulating the acr genes; SdiA senses exogenous N-acyl homoserine lactones
EG10936	secA	P10408	g1786287	Translocon ATPase; targets protein precursors to the SecYE core translocon for secretion; autogenous translational repressor; ATP-dependent helicase activity on secMA mRNA; homodimeric/monomeric
EG10937	secB	P0AG86	g1790038	Protein export chaperone; SecB helps SecA deliver proteins to the SecYE core translocon; general protein chaperone
EG10938	secD	P0AG90	g1786609	SecDFyajC inner membrane secretion protein trimeric complex; assists the SecYE core translocon to interact with SecA and export protein
EG10939	secE	P0AG96	g1790413	SecYE core translocon, protein export inner membrane pore protein
EG10940	secF	P0AG93	g1786610	SecDFyajC inner membrane secretion protein trimeric complex; assists the SecYE core translocon to interact with SecA and export protein
EG10941	selA	P0A821	g2367248	Selenocysteine synthase; with SelD, converts serine residue to selenocysteine on tRNA; contains pyridoxal 5-phosphate
EG10942	selB	P14081	g2367247	Novel elongation factor promoting selenocysteine incorporation (specific for selenocysteyl tRNA)
EG10943	selD	P16456	g1788062	Selenophosphate synthase, ATP-dependent; reduced selenium donor for selenocysteic tRNA synthesis and for the modification of several tRNAs to contain 5-methylaminomethyl-2-selenouridine
EG10944	serA	P0A9T0	g1789279	D-3-Phosphoglycerate dehydrogenase
EG10945	serB	P0AGB0	g1790849	Phosphoserine phosphatase; HAD9
EG10946	serC	P23721	g1787136	Phosphoserine aminotransferase
EG10947	serS	P0A8L1	g1787120	Serine--tRNA ligase; serine hydroxamate resistance
EG10948	maeA	P26616	g87081919	Malic enzyme, NAD-dependent; NAD-ME
EG10949	sfsA	P0A823	g1786340	Overexpression increases maltose utilization; stimulates MalQ
EG10950	slt	P0AGC3	g87082441	Soluble lytic murein transglycosylase Slt70, major autolysin, periplasmic
EG10951	ytjB	P0AGC7	g1790847	Function unknown, membrane protein; transcribed divergently from serB, overlapping promoters; homologous to ahpA of P. multocida, which induces anaerobic expression of the cryptic hemolysin HlyE(SheA) when cloned in E. coli
EG10952	smpA	P0A937	g87082138	Small probable lipoprotein, function unknown; Cys conserved
EG10953	sodA	P00448	g1790342	Superoxide dismutase, Mn
EG10954	sodB	P0AGD3	g1787946	Superoxide dismutase, Fe; response to oxidative stress; chromate resistance; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; acid-inducible
EG10955	sohA	P15373	g1789517	Suppressor of htrA; putative protease
EG10956	sohB	P0AG14	g1787527	Multicopy suppressor of htrA(degP) defects, probable protease
EG10957	soxR	P0ACS2	g1790498	Regulatory protein of soxRS regulon; induces sox regulon when superoxide levels increase; reduced by RseC and RsxABCDGE
EG10958	soxS	P0A9E2	g1790497	Regulatory protein of soxRS regulon; induces sox regulon when superoxide levels increase
EG10959	speA	P21170	g1789307	Biosynthetic decarboxylase
EG10960	speB	P60651	g1789306	Agmatinase
EG10961	speC	P21169	g87082193	Ornithine decarboxylase
EG10962	speD	P0A7F6	g1786311	S-adenosylmethionine decarboxylase, spermidine biosynthesis; two subunits by cleavage: residues 1-111 are the beta chain and 112-264 are the alpha chain (153 aa)
EG10963	speE	P09158	g1786312	Spermidine synthase
EG10964	speF	P24169	g1786909	Ornthine decarboxylase, inducible
EG10965	gmk	P60546	g1790080	Guanylate kinase
EG10966	spoT	P0AG24	g1790082	Guanosine 5'-diphosphate, 3'-diphosphate pyrophosphatase; ppGpp synthase II activity
EG10967	trmH	P0AGJ2	g1790083	tRNA mG18-2'-O-methyltransferase
EG10968	sppA	P08395	g1788064	Protease IV; signal peptide peptidase
EG10969	srlA	P56579	g48994904	D-glucitol-specific enzyme II of phosphotransferase system
EG10970	srlB	P05706	g1789056	D-glucitol (sorbitol)-specific enzyme III of the phosphotransferase system
EG10971	srlD	P05707	g1789057	Sorbitol-6-phosphate dehydrogenase
EG10972	gutM	P15081	g1789058	Part of srl operon
EG10973	gutQ	P17115	g87082151	D-arabinose 5-phosphate isomerase
EG10974	srlR	P15082	g1789059	Regulatory gene for srl operon
EG10975	srmB	P21507	g1788930	Putative ATP-dependent RNA helicase; suppresses 50S ribosome assembly defect of rplX(ts); required for effiicient ribosomal 50S subunit assembly; stabilizes exposed mRNA, possibly by protecting or destabilizing secondary structure of RNase E sites
EG10976	ssb	P0AGE0	g1790494	Single-stranded DNA-binding protein; member of LexA regulon; alkali-inducible; homotetramer
EG10977	sspA	P0ACA3	g1789624	Activator of phage P1 late genes, stress response protein; glutathione S-transferase homolog
EG10978	sspB	P0AFZ3	g1789623	Specificity-enhancing factor for ClpXP protease, binds ssrA-tagged proteins; ribosome-associated stress response protein; homodimeric
EG10979	sucA	P0AFG3	g1786945	2-oxoglutarate dehydrogenase, E1 component; yields succinyl-CoA and CO(2)
EG10980	sucB	P0AFG6	g1786946	2-oxoglutarate dehydrogenase, E2 component; dihydrolipoamide succinyltransferase; acid-inducible; yields succinyl-CoA and CO(2)
EG10981	sucC	P0A836	g1786948	Succinyl CoA synthase beta-subunit; acid-inducible
EG10982	sucD	P0AGE9	g1786949	Succinyl CoA synthase alpha-subunit
EG10983	suhB	P0ADG4	g1788882	Inositol-1-monophosphatase; mutation suppresses TS growth phenotype of rpoH15, dnaB121, and secY24; suhB mutations confers CS growth
EG10984	sulA	P0AFZ5	g1787192	Inhibits cell division and ftsZ ring formation; lexA regulon
EG10985	surA	P0ABZ6	g1786238	Periplasmic OM porin chaperone, has PPIase activity; required for stationary-phase survival
EG10986	tag	P05100	g1789971	3-methyladenine DNA glycosylase I, contains Zn(II)
EG10987	tap	P07018	g1788194	Dipeptide chemoreceptor, methyl-accepting; MCP IV; flagellar regulon
EG10988	tar	P07017	g1788195	Aspartate, maltose chemoreceptor, methyl-accepting; MCP II; also senses repellents cobalt and nickel; flagellar regulon
EG10989	tdcA	P0ACQ7	g1789506	Transcriptional activator of tdc operon
EG10990	tdcB	P0AGF6	g1789505	Threonine dehydratase
EG10991	tdcC	P0AAD8	g1789504	Serine/threonine:H+ symport permease
EG10992	tdcR	P11866	g87082214	Positive regulatory protein for threonine dehydratase, TdcB
EG10993	tdh	P07913	g1790045	Threonine dehydrogenase
EG10994	tdk	P23331	g1787490	Deoxythymidine kinase
EG10995	tesB	P0AGG2	g1786657	Thioesterase II
EG10996	tgt	P0A847	g1786607	tRNA-guanine transglycosylase; queuosine biosynthesis; zinc metalloprotein
EG10997	mnmE	P25522	g2367268	5-methylaminomethyl-2-thiouridine modification at tRNA U34; cmnm(5) addition to tRNA-s(2)U34, forming (with subsequent or interdependent MnmG action) cmnm(5)s(2)U34-tRNA, an intermediate in mnm(5)s(2)U34-tRNA synthesis
EG10998	thrA	P00561	g1786183	Aspartokinase I and homoserine dehydrogenase I, bifunctional
EG10999	thrB	P00547	g1786184	Homoserine kinase
EG11000	thrC	P00934	g1786185	Threonine synthase
EG11001	thrS	P0A8M3	g1788013	Threonine--tRNA ligase, autogenously regulated; binds Zn(II)
EG11002	thyA	P0A884	g1789191	Thymidylate synthase; aminopterin, trimethoprim resistance; homodimer
EG11003	tig	P0A850	g1786640	Trigger factor, protein folding chaperone; also peptidyl-prolyl cis-trans isomerase; interacts with nascent polypeptide chains
EG11004	ptrB	P24555	g1788150	Protease II; oligopeptidase B
EG11005	tnaA	P0A853	g87082323	Tryptophanase, also has cysteine desulfhydrase activity; interconverts tryptophan and indole; also called L-tryptophan indole-lyase;
EG11006	tnaB	P23173	g1790145	Tryptophan:H+ symport permease, low affinity
EG11007	tolA	P19934	g1786960	Tolerance to group A colicins, single-stranded filamentous DNA phage; required for OM integrity; membrane protein; bacteriocin tolerant
EG11008	tolB	P0A855	g1786961	Uptake of group A colicins, mutants are tolerant to colicins E1-3, A, and K
EG11009	tolC	P02930	g87082199	Outer membrane factor (OMF) of tripartite efflux pumps; channel-tunnel spanning the outer membrane and periplasm; homotrimeric; ColE1 tolerance
EG11010	tolQ	P0ABU9	g1786958	Tolerance to group A colicins and ssDNA filamentous phage; cell envelope integrity; inner membrane protein
EG11011	tolR	P0ABV6	g1786959	Colicin import; Tolerance to group A colicins, single-stranded DNA filamentous phage; cell envelope integrity; inner membrane protein;
EG11012	tonB	P02929	g1787505	Uptake of chelated Fe(2+) and cyanocobalamin; works in conjunction with OM receptors; energy transducer; sensitivity to T1, phi80, and colicins; forms a complex with ExbB and ExbD
EG11013	topA	P06612	g1787529	Topoisomerase I
EG11014	topB	P14294	g1788061	Topoisomerase III; mutR phenotype is decreased deletion formation between short repeats
EG11015	tpiA	P0A858	g1790353	Triosephosphate isomerase
EG11016	tpr	P02338	g1787482	Putative protamine-like protein, encoded within tyrT transcript
EG11017	treA	P13482	g1787447	Trehalase, periplasmic
EG11018	trg	P05704	g1787690	Ribose, galactose chemoreceptor, methyl-accepting; MCP III; flagellar regulon
EG11019	trkA	P0AGI8	g1789685	Major constitutive K+ uptake permeases TrkAG and TrkAH; high-rate, low-affinity transport; peripheral membrane protein bound to inner membrane protein TrkG or TrkH to form active permease; binds NAD+ and NADH
EG11020	trkG	P23849	g1787626	Major constitutive K+ uptake permease TrkAG; high-rate, low-affinity transport; K+-translocating subunit; binds TrkA to inner membrane; Rac prophage
EG11021	trkH	P0AFZ7	g48994987	Major constitutive K+ uptake permease TrkAH; high-rate, low-affinity transport; K+-translocating subunit; binds TrkA to inner membrane
EG11022	trmA	P23003	g1790403	tRNA (m5U54)-methyltransferase, SAM-dependent
EG11023	trmD	P0A873	g1788959	tRNA m(1)G37 methyltransferase
EG11024	trpA	P0A877	g1787514	Tryptophan synthase, alpha subunit
EG11025	trpB	P0A879	g1787515	Tryptophan synthase, beta subunit
EG11026	trpC	P00909	g87081863	Tryptophan synthesis, bifunctional: N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthase
EG11027	trpD	P00904	g1787517	Tryptophan synthesis, bifunctional: anthranilate synthase component II and phosphoribosyl anthranilate transferase
EG11028	trpE	P00895	g1787518	Anthranilate synthase component I
EG11029	trpR	P0A881	g1790854	Autogenously regulated tryptophan repressor protein; regulator of trp operon, aroH, and other members of the TrpR regulon; 5-Methyltryptophan resistance
EG11030	trpS	P00954	g1789786	Tryptophan--tRNA ligase
EG11031	trxA	P0AA25	g87082331	Thioredoxin 1; Trx; with TrxB, also has general chaperone activity; processivity factor for phage T7 gene 5 DNA polymerase
EG11032	trxB	P0A9P4	g1787114	Thioredoxin reductase, NADP+, FAD-binding; with TrxA, also has general chaperone activity; dimeric
EG11033	tsf	P0A6P1	g1786366	EF-Ts, elongation factor for transcription, stable; binds Zn(II)
EG11034	tsr	P02942	g2367378	Serine chemoreceptor, methyl-accepting; MCP I; also senses repellents; flagellar regulon
EG11035	tsx	P0A927	g1786612	T6, colicin K resistance; nucleoside channel
EG11036	tufA	P0A6N1	g1789737	EF-Tu translation elongation factor; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin
EG11037	tufB	P0A6N1	g1790412	EF-Tu translation elongation factor; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin
EG11038	tus	P16525	g1787895	Inhibits replication at Ter; Ter DNA-binding protein, blocking replication forks; DNA sequence-specific contrahelicase; binds and arrests the DnaB helicase at Ter sites
EG11039	tyrA	P07023	g1788952	Tyrosine synthesis: chorismate mutase/prephenate dehydratase
EG11040	tyrB	P04693	g1790488	Tyrosine aminotransferase; aromatic amino acid aminotransferase; phenylalanine aminotransferase; dicarboxylic amino acid aminotransferase; homodimeric
EG11041	tyrP	P0AAD4	g1788218	Tyrosine:H+ symport permease
EG11042	tyrR	P07604	g1787583	TyrR regulon repressor or activator; regulates aroF, aroG, tyrA, and aromatic amino acid transport; autoregulation of tyrR not mediated by tyrosine; ATPase activity; zinc-stimulated phosphatase activity
EG11043	tyrS	P0AGJ9	g1787925	Tyrosine--tRNA ligase
EG11044	ubiX	P0AG03	g1788650	3-octaprenyl-4-hydroxybenzoate carboxylyase; UbiD isozyme
EG11045	udp	P12758	g1790265	Uridine phosphorylase
EG11046	ugpA	P10905	g1789861	sn-Glycerol-3-phosphate transport system, integral membrane protein
EG11047	ugpB	P0AG80	g1789862	sn-Glycerol-3-phosphate transport system, periplasmic binding protein
EG11048	ugpC	P10907	g87082267	sn-Glycerol-3-phosphate transport system, ABC family permease
EG11049	ugpE	P10906	g1789860	sn-Glycerol-3-P transport system; membrane protein
EG11050	ugpQ	P10908	g1789858	Glycerophosphodiester phosphodiesterase; cytosolic
EG11051	uhpA	P0AGA6	g1790102	Response regulator of two component system required for uhpT transcription
EG11052	uhpB	P09835	g87082311	Membrane protein controlling UhpA activity, sensor kinase
EG11053	uhpC	P09836	g87082310	Glc6P transporter; membrane sensor recognizing external glucose-6-phosphate (Glc6P) and, in concert with UhpB, inducing uhpT
EG11054	uhpT	P0AGC0	g2367259	Hexose phosphate permease; fosfomycin sensitivity; monomeric
EG11055	uidA	P05804	g1787903	beta-D-Glucuronidase
EG11056	umuC	P04152	g1787432	DNA polymerase V subunit, capable of translesion synthesis; polymerase activity subunit; UV induction of mutations, error-prone repair; forms complex with UmuD and UmuD'; intrinsic AP lyase activity; lexA regulon
EG11057	umuD	P0AG11	g1787431	DNA polymerase V subunit, capable of translesion synthesis; inducible mutagenesis; error-prone repair; processed to UmuD'; UmuDC single-stranded binding protein with RecA-coated DNA; intrinsic AP lyase activity; lexA regulon
EG11058	ung	P12295	g1788934	Uracil DNA glycosylase (UDG), excises uracil from DNA by base flipping mechanism; prefers ssDNA over dsDNA
EG11059	usg	P08390	g1788658	Gene in pdxB operon, function unknown
EG11060	ushA	P07024	g1786687	UDP-glucose hydrolase and 5'-nucleotidase; bifunctional periplasmic enzyme; monomeric
EG11061	uvrA	P0A698	g2367343	Excision nuclease subunit A; repair of UV damage to DNA; LexA regulon; binds Zn(II)
EG11062	uvrB	P0A8F8	g1786996	Excision nuclease subunit B, ATPase I and helicase II; repair of UV damage to DNA
EG11063	uvrC	P0A8G0	g87081999	Excision nuclease subunit C; repair of UV damage to DNA; multicopy causes mucoidy
EG11064	uvrD	P03018	g2367296	ATP-dependent 3'-5' DNA helicase II; unwinds forked DNA structures; dismantles the RecA nucleoprotein filament; increased rates of spontaneous mutagenesis
EG11065	uxaB	P0A6L7	g48994885	D-Altronate oxidoreductase; NAD cofactor; galacturonate branch of hexuronate pathway
EG11066	uxuA	P24215	g1790778	D-Mannonate dehydratase (hydrolase); Fe(2)-requiring; glucuronate branch of hexuronate pathway
EG11067	valS	P07118	g1790708	Valine--tRNA ligase
EG11068	vsr	P09184	g1788270	Mismatch nicking endonuclease, helps repair TG mismatches
EG11069	xerC	P0A8P6	g1790244	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific
EG11070	dsbC	P0AEG6	g1789260	Disulfide bond isomerase, periplasmic; chaperone; activated by DsbD; homodimeric
EG11071	xerD	P0A8P8	g1789261	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific
EG11072	xseA	P04994	g1788856	Exonuclease VII, large subunit
EG11073	xthA	P09030	g1788046	Exodeoxyribonuclease III and AP endodeoxyribonuclease VI; RNase H activity; DNA repair
EG11074	xylA	P00944	g1789988	D-Xylose isomerase
EG11075	xylB	P09099	g1789987	D-xylulose kinase
EG11076	xylE	P0AGF4	g1790463	Xylose/H+ symporter
EG11078	nhaR	P0A9G2	g1786202	Positive regulator of nhaA, Na(+)-dependent
EG11079	ribF	P0AG40	g1786208	Riboflavin kinase and FAD synthase, riboflavin biosynthesis
EG11080	fkpB	P0AEM0	g1786211	FKBP-type peptidyl-prolyl cis-trans isomerase
EG11081	ispH	P62623	g1786212	Last, branched, step of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) synthesis from 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis
EG11082	rihC	P22564	g1786213	Ribonucleoside hydrolase
EG11083	hepA	P60240	g1786245	RNA polymerase binding protein; mutants are UV-S; ATPase and putative helicase
EG11084	mraZ	P22186	g1786269	Putative DNA-binding protein, function unknown; expressed gene in dcw (division, cell wall) gene cluster; non-essential gene
EG11085	mraW	P60390	g1786270	SAM-dependent protein methyltransferase, membrane-associated; cellular function unknown, expressed gene in dcw gene cluster; non-essential
EG11086	ftsL	P0AEN4	g1786271	Cell division and growth, membrane protein
EG11087	secM	P62395	g87081686	Secretion monitor controlling secA expression
EG11088	pdhR	P0ACL9	g1786303	Pyruvate dehydrogenase operon (pdhR-aceEF-lpd) repressor; autoregulatory; pyruvate relieves repression; monomeric
EG11089	yacC	P0AA95	g87081688	Expressed protein, function unknown
EG11090	mtn	P0AF12	Null	5'-Methylthioadenosine nucleosidase; S-adenosylhomocysteine and 5'-deoxyadenosine are also substrates
EG11091	frsA	P04335	g1786434	Fermentation-respiration switch protein; PTS Enzyme IIAGlc-binding protein, binds unphosphorylated form; has pNP-butyrate activity in vitro
EG11092	crl	P24251	g1786435	Stimulates RNA polymerase holoenzyme formatio; appears to stimulate RpoS activity during stationary phase; mutants display rpoS mutant phenocopy; does not reduce amount of RpoS protein
EG11093	yaiA	P0AAN5	g1786588	Function unknown
EG11094	sbcD	P0AG76	g1786598	DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; cosuppressor with sbcB of recB recC mutations; heterodimeric
EG11095	acpH	P21515	g1786605	Acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase
EG11096	yajC	P0ADZ7	g1786608	SecDFyajC inner membrane secretion protein complex; assists the SecYE translocon to interact with SecA and export protein; non-essential
EG11097	yajD	P0AAQ2	g1786611	Function unknown
EG11098	xseB	P0A8G9	g1786624	Exonuclease VII, small subunit
EG11099	ybaA	P0AAQ6	g1786661	Function unknown
EG11100	ybaB	P0A8B5	g1786677	Function unknown, in recR operon; may be involved in DNA repair
EG11101	aes	P23872	g1786682	Short acyl chain and triacetyl glycerol esterase; affects maltose gene expression
EG11102	gsk	P0AEW6	g1786684	Guanosine kinase
EG11103	fimZ	P0AEL8	g1786747	Putative fimbriae protein synthesis regulator
EG11104	entS	P24077	g1786806	Enterobactin exporter; iron-regulated
EG11105	ybdB	P0A8Y8	g1786813	Acyl-CoA esterase in vitro, function unknown
EG11107	ybdD	P0AAS9	g87081761	Function unknown
EG11108	ybgA	P24252	g1786925	Function unknown
EG11109	mngR	P13669	g1786950	mngAB operon repressor, mannosyl glycerate utilization
EG11110	ybgC	P0A8Z3	g1786957	Acyl-CoA thioesterase, involved in phospholipid metabolism; binds ACP; acyl-ACP could be native substrate
EG11111	cspD	P0A968	g1787107	Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced
EG11112	aat	P0A8P1	g1787111	Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease
EG11113	yccA	P0AAC6	g1787205	Membrane-associated protein that binds to FtsH(HflB) and HflKC proteins; mutant YccA stabilizes SecY(Ts); suppression requires HflKC; YccA is a native substrate for the FtsH(HflB) protease
EG11114	yccB	P24244	Null	Function unknown
EG11116	yceA	P24188	g1787294	Function unknown
EG11117	yceB	P0AB26	g1787302	Novel verified lipoprotein, function unknown
EG11118	rluC	P0AA39	g1787327	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580; non-essential gene
EG11119	yceD	P0AB28	g1787329	Function unknown
EG11120	tfaE	P09153	g1787402	Phage lambda tail fiber assembly gene homolog, e14 prophage
EG11121	yciA	P0A8Z0	g1787506	Acyl-CoA esterase, function unknown
EG11122	yciB	P0A710	g1787507	Involved in intracellular septation in Shigella
EG11123	yciC	P21365	g1787508	Function unknown
EG11124	ompW	P0A915	g1787510	Outer membrane protein W; colicin S4 receptor
EG11125	yciE	P21363	g1787511	Function unknown
EG11126	yciF	P21362	g1787512	Function unknown, H-NS repressed; dimeric; rubrerythrin/ferritin-like putative metal-binding protein
EG11127	yciG	P21361	g87081862	Required for swarming phenotype, function unknown
EG11128	yciH	P08245	g87081867	Mimics some initiation factor functions, binds 30S subunit; eIF1 homolog
EG11129	rem	P07010	g1787844	Function unknown, Qin prophage; downstream of relF gene
EG11130	hokD	P0ACG6	g1787845	Small toxic membrane polypeptide, Qin prophage; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG11131	relE	P0C077	g1787846	Reversible inhibitor of translation, Qin prophage; cleaves mRNA in A site; binds to its antidote RelB and ribosomes; co-repressor of relB operon transcription; stress-induced; degraded by Lon protease
EG11132	ydiA	P0A8A4	g1787995	Function unknown
EG11133	nlpC	P23898	g1788001	Putative peptidase, C40 clan, function unknown, lipoprotein
EG11134	ydjA	P0ACY1	g1788063	Putative nitroreductase, function unknown; low abundance protein
EG11135	pncA	P21369	g87081970	Nicotinamide deamidase
EG11136	yebB	P24238	g87081991	Function unknown
EG11137	yebC	P0A8A0	g1788171	Function unknown, expressed protein; non-essential gene
EG11138	nudB	P0AFC0	g1788172	dATP-preferring nucleoside tri-P pyrophosphohydrolase
EG11139	yecA	P0AD05	g1788219	Function unknown
