# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
pi008		Member of the Dor1-like family					SPBC11B10.03	Golgi transport complex (predicted),  obsolete:pi008,  obsolete:SPACTOKYO_453.28c		Q96WW5							
C23H4.13c		Protein of unknown function					SPAC23H4.13c	dubious		O13954							
C1F12.01c		Protein with high similarity to S. cerevisiae Snf4p, which is a protein that acts with Snf1p to derepress glucose-repressed genes, contains three CBS (cystathionine-beta-synthase) domains, which dimerize to form a stable globular domain					SPAC1556.08c	protein kinase activator activity (predicted),  SPAC1F12.01c		Q10343							
C1399.02		Member of the major facilitator superfamily, has low similarity to S. pombe Fnx1p, which is a major facilitator superfamily (MFS) transporter required for long-term survival in cells starved for nitrogen					SPAC1399.02	membrane transporter		Q9HE13							
mde7		Putative RNA-binding protein, may play a role in meiosis or sporulation					SPCC320.07c	RNA-binding protein		O59784							
C330.19c		Protein of unknown function					SPCC330.19c	sequence orphan		Q8J1M7							
C18B5.09c		Protein of unknown function					SPCC18B5.09c	dubious		Q9USL2							
rad16: rad10: rad20: swi9		Protein that functions in nucleotide excision repair, required for mating-type switching, homolog of S. cerevisiae Rad1p					SPCC970.01	DNA repair endonuclease XPF,  rad10,  rad20,  swi9		P36617							
P8B7.08c	EC2.1.1.-	Member of the leucine carboxyl methyltransferase family, has low similarity to leucine carboxyl methyltransferase 1 (human LCMT1), which catalyzes the methylation of the C-terminal leucine carboxyl group of the catalytic subunit of human PPP2CA					SPBP8B7.08c	leucine carboxyl methyltransferase (predicted)		O94257							
C1071.03c		Protein of unknown function					SPAC1071.03c	sequence orphan		Q9UTR0							
C6G9.02c		Member of the Pumilio-family RNA-binding repeat containing family, has low similarity to uncharacterized S. cerevisiae Yjl010p					SPAC6G9.02c	RNA-binding protein		Q92347							
C16G5.15c		Forkhead transcription factor which is required for M-phase-specific transcription					SPBC16G5.15c	fork head transcription factor Fkh2		O60129							
C21C3.14c		Protein of unknown function					SPBC21C3.14c	sequence orphan		Q9P7L0							
C3H1.03		Member of the HCNGP-like protein family					SPAC3H1.03	conserved eukaryotic protein		Q10069							
rnh1	EC3.1.26.4	Protein containing an RNase H domain, has low similarity to ribonuclease H1 (mouse Rnaseh1), which binds to double stranded RNA and DNA-RNA hybrids and degrades the RNA strand of DNA-RNA hybrids					SPBC336.06c	ribonuclease H activity		Q9UST8							
C3H1.05	EC3.4.24.-	Member of the M48 peptidase family of zinc metalloproteases, has moderate similarity to S. cerevisiae Ste24p, which is a prenyl-dependent protease involved in N-terminal proteolytic and C-terminal CAAX processing of a-factor (S. cerevisiae Mfa1p)					SPAC3H1.05	CAAX prenyl protease (predicted)		Q10071							
C227.17c		Protein of unknown function					SPAC227.17c	hypothetical protein		Q9UTC2							
pi010		Member of the glycosyl transferases group 1 family, which transfer nucleotide-linked sugars to acceptor substrates, has moderate similarity to S. cerevisiae Alg2p, which is a mannosyltransferase involved in N-glycosylation					SPBC11B10.01	mannosyltransferase,  SPBC32H8.14,  obsolete:pi010,  obsolete:SPACTOKYO_453.27		Q96WW6							
C30D10.05c		Protein containing a short chain dehydrogenase domain, has moderate similarity to S. cerevisiae Yir036p, which is an oxidoreductase					SPBC30D10.05c	short chain dehydrogenase (predicted)		O14351							
C24B10.10c		Member of the ATPase family associated with various cellular activities, has moderate similarity to a region of spastic paraplegia 4 (spastin, human SPAST), which is an ATPase that is associated with autosomal dominant hereditary spastic paraplegia					SPCC24B10.10c	AAA family ATPase		Q9P7J5							
alp11		Cytoskeleton-associated protein required for the maintenance of microtubule structure					SPAC13D6.05	tubulin specific chaperone (cofactor B),  SPAC4G9.01		Q10235							
C16C6.04		Protein of unknown function					SPBC16C6.04	sequence orphan		O42928							
pi014		Probable cyclin dependent kinase that forms a specific Cdk/cyclin pair with Pch1p					SPBC32H8.10	cyclin-dependent protein kinase Cdk9,  obsolete:pi014,  obsolete:SPACTOKYO_453.22		Q96WV9							
C16C6.05		Protein containing a translation initiation factor SUI1 domain, has moderate similarity to uncharacterized S. cerevisiae Yjr014p					SPBC16C6.05	translation initiation factor (predicted)		O42929							
pi015		Protein containing a WD domain G-beta repeat, has weak similarity to uncharacterized human WDR8					SPBC32H8.09	WD repeat protein,  obsolete:pi015,  obsolete:SPACTOKYO_453.21c		Q96WW0							
pB18E9.05c		Protein of unknown function					SPAPB18E9.05c	dubious		Q8TFG3							
pi016		Member of the glycolipid 2-alpha-mannosyltransferase family, which are involved in N-linked and O-linked glycosylation, has moderate similarity to S. cerevisiae Ktr1p, which is a mannosyltransferase involved in N-linked and O-linked glycosylation					SPBC32H8.08c	mannosyltransferase (predicted),  obsolete:pi016,  obsolete:SPACTOKYO_453.20		Q96WW1							
alp13		Chromodomain protein, component of the histone deacetylase complex that includes Clr6p, Pst2p, and Prw1p, mediates Clr6p histone deacetylase activity, required for cell polarity					SPAC23H4.12	chromodomain protein		O13953							
alp14		Kinetochore-associated protein required for the spindle checkpoint, functions with the microtubule-destabilizing proteins Klp5p and Klp6p in kinetochore-spindle attachment					SPCC895.07	Mad2-dependent spindle checkpoint component,  mtc1		O94534							
pi018		Protein containing a type 2 tetratricopeptide repeat					SPBC32H8.06	TPR repeat protein,  obsolete:pi018,  obsolete:SPACTOKYO_453.18		Q96WW2							
alp16		Protein required for microtubule formation during interphase, member of the gamma-tubulin complex					SPCC4G3.19	gamma tubulin complex		P87244							
C70.02c		Member of the mitochondrial ATPase inhibitor (IATP) family					SPCC70.02c	ATPase inhibitor		O74523							
pi019		Member of the DUF652 protein of unknown function family, has high similarity to uncharacterized human C14orf111					SPBC32H8.04c	conserved eukaryotic protein,  obsolete:pi019,  obsolete:SPACTOKYO_453.16		O13610							
C16C6.09	EC2.4.1.109	Mannosyltransferase, member of the dolichyl-phosphate-mannose-protein mannosyltransferase family that catalyze O-linked glycosylation of proteins					SPBC16C6.09	protein O-mannosyltransferase,  oma4		O42933							
C216.04c		Member of the SelR domain containing family, has moderate similarity to S. cerevisiae Ycl033p, which functions in protection against oxidative stress					SPBC216.04c	methionine sulfoxide (predicted)		Q9Y7K1							
C1F12.02c		Protein with high similarity to S. cerevisiae Ykl056p, which involved in cell growth and maintenance and possibly in cytoplasmic ribosome function, contains a translationally controlled tumor protein domain					SPAC1F12.02c	p23fy,  conserved eukaryotic protein		Q10344							
P8B7.09c		Protein with low similarity to exportin T (human XPOT), which is a transport receptor protein that interacts with and exports mature tRNAs from the nucleus in a RanGTP-dependent manner					SPBP8B7.09c	exportin t		O94258							
C1071.04c		Protein of unknown function					SPAC1071.04c	signal peptidase subunit (predicted)		Q9UTQ9							
dim1: C336.02	EC2.1.1.-	Protein with high similarity to dimethyladenosine transferase, (S. cerevisiae Dim1p), which is responsible for m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, contains a ribosomal RNA adenine dimethylase domain					SPBC336.02	18S rRNA dimethylase,  obsolete:dim1		Q9USU2							
C29B12.02c		Histone methyltransferase specific for lysine 36 of histone H3					SPAC29B12.02c	histone lysine methyltransferase (predicted)		O14026							
C2F3.12C		Protein with low similarity to S. cerevisiae Plp1p, which is a phosducin homolog likely to be involved in regulation of pheromone response					SPAC2F3.12c	conserved eukaryotic protein,  obsolete:SPAC2F3.17c		O14095							
C6G9.03c		Protein with weak similarity to regulator of Ty transposition (S. cerevisiae Rtt106p), which is a likely DNA structure-specific recognition protein that functions in the pH response and in drug susceptibility and resistance					SPAC6G9.03c	hypothetical protein		Q92348							
C3H1.10		Phytochelatin synthetase important for cadmium resistance					SPAC3H1.10	phytochelatin synthetase (PMID 10369673)		Q10075							
C21C3.15c		Protein with high similarity to S. cerevisiae Msc7p, which is involved in meiotic recombination, member of the aldehyde dehydrogenase family, which use NADP as a cofactor					SPBC21C3.15c	aldehyde dehydrogenase (predicted)		Q9P7K9							
C11E3.13c		Member of the glycolipid anchored surface protein (GAS1) family, has moderate similarity to A. fumigatus Gel1, which is a 1,3-beta-Glucanosyltransferase of the cell wall that may act in cell wall synthesis and maintenance					SPAC11E3.13c	GPI anchored protein (predicted) (pers. comm. Birgit Eisenhaber)		O13692							
C3H1.11		Protein containing two zinc finger C2H2 type repeats, which bind nucleic acids, has weak similarity to a region of S. cerevisiae Msn2p, which is a zinc-finger transcriptional activator for genes involved in the multistress response					SPAC3H1.11	zinc finger protein		Q10076							
sce3		Protein with similarity to human initiation factor eIF4b					SPBC18H10.04c	translation initiation factor,  tif48		O14369							
isp4		Oligopeptide transport protein involved in sexual differentiation					SPBC29B5.02c	OPT oligopeptide transporter family		P40900							
isp5		Putative amino acid permease involved in sexual differentiation					SPAC1039.09	amino acid permease family		P40901							
C3H1.13		Protein containing a protein kinase domain, has low similarity to S. cerevisiae Ypl236p, which is a serine/threonine protein kinase of unknown cellular function					SPAC3H1.13	serine/threonine protein kinase (predicted)		Q10078							
isp6		Vacuolar serine protease, involved in protein degradation and vacuole morphology during nitrogen starvation					SPAC4A8.04	serine protease,  prb1		P40903							
C3H1.14		Protein of unknown function, has low similarity to uncharacterized mouse 4933439F18Rik					SPAC3H1.14	hypothetical protein,  SPAC9G1.01		Q10079							
C1F5.05c		Protein of unknown function					SPAC1F5.05c	sequence orphan		Q10060							
isp7		Protein involved in sexual differentiation					SPAC25B8.13c	2 OG-Fe(II) oxygenase superfamily		P40902							
csn7a		Member of the PCI (proteasome, COP9-complex and eIF3) or PINT (Proteasome, Int-6, Nip-1 and TRIP-15) domain containing family					SPAC1952.12c	COP9/signalosome complex (subunit 7a),  csn7a,  csn7		Q9UUJ7							
din1		Protein with low similarity to S. cerevisiae Rai1p, which binds and enhances the function of nuclear exonuclease S. cerevisiae Rat1p and is involved in polar budding and rRNA processing					SPAC19D5.06c	nuclear exonuclease binding protein (predicted)		O13836							
csn7b		Member of the PCI (proteasome, COP9-complex and eIF3) or PINT (Proteasome, Int-6, Nip-1 and TRIP-15) domain containing family, has weak similarity to uncharacterized mouse Ga17					SPAC1751.03	eukaryotic translation initiation factor eIF3m (pers. comm,  Dieter Wolf),  SPAC31A2.01,  obsolete:csn72,  obsolete:csn7b,  obsolete:csn7		Q09722							
C3H1.12c		Component of Lid2C complex, which may interact with the Set1C complex					SPAC3H1.12c	Lid2 complex		Q10077							
pi021		Protein containing a ubiquitin-like protein-specific protease (Ulp1) family C-terminal catalytic domain, which may bind other protein domains					SPBC32H8.02c	nedd8 protease Nep2,  obsolete:SPACTOKYO_453.14c,  obsolete:pi021		O13612							
C24B10.11c		Protein of unknown function					SPCC24B10.11c	sequence orphan		Q9P7J4							
pi022		Protein required for equal chromosome segregation					SPBP22H7.09c	kinetochore protein Mis15p,  obsolete:pi022,  obsolete:SPACTOKYO_453.12		Q9C0W0							
C2F7.04		Component of the mediator complex, involved in regulating RNA polymerase II activity					SPAC2F7.04	RNA polymerase II holoenzyme mediator complex subunit		Q09696							
rpl5-2		60S ribosomal protein L5					SPBC11C11.09c	60S ribosomal protein L5,  rpl5-2,  rpl5b		O74306							
pgk1	EC2.7.2.3	Protein with high similarity to phosphoglycerate kinase (C. albicans Pgk1p), which is a glycolytic enzyme and cell surface antigen, member of the phosphoglycerate kinase family, which catalyze the conversion of 1,3-diphosphoglycerate + ADP in glycolysis					SPBC14F5.04c	phosphoglycerate kinase		O60101							
C1703.13c		Protein with high similarity to C. elegans F01G4.6, which is involved in positive growth regulation, member of the mitochondrial carrier protein family of membrane transporters					SPBC1703.13c	mitochondrial carrier		Q9P7V8							
pi025		Protein with low similarity to muscle-specific beta 1 integrin binding protein (human ITGB1BP3), which interacts with the cytoplasmic region of integrin beta 1 (human ITGB1) and may play a role in myogenesis					SPBP22H7.06	nicotinamide riboside kinase (predicted) (ISS),  obsolete:pi025,  obsolete:SPACTOKYO_453.09c		Q9C0W1							
pi026		Member of the ATPase family associated with various cellular activities, has low similarity to yeast Tat-binding analog 7 (S. cerevisiae Yta7p), which acts as a barrier to restrict transcriptional silencing					SPBP22H7.05c	TAT-binding protein homolog,  obsolete:pi026,  obsolete:SPACTOKYO_453.08		Q9C0W2							
C12B10.01c		Protein containing a HEAT repeat, which appear to function as protein-protein interaction surfaces, and a HECT domain, which may confer ubiquitin-protein ligase activity, has low similarity to S. cerevisiae Ufd4p, which is a ubiquitin-protein (E3) ligase					SPAC12B10.01c	ubiquitin-protein ligase (E3) (predicted),  SPAC31F12.02c,  SPAC637.15c		Q10435							
pi027		Protein of unknown function					SPBP22H7.04	sequence orphan,  obsolete:pi027,  obsolete:SPACTOKYO_453.08		Q9C0W3							
C13G7.03		Protein of unknown function, appears to localize to the nucleolar region					SPAC13G7.03	up-frameshift suppressor3 family		Q10267							
ctr4		Integral membrane component of the high-affinity copper transport complex, interacts with Ctr5p					SPCC1393.10	copper transporter (high affinity)		O94722							
pi028		Protein of unknown function					SPBP22H7.03	sequence orphan,  obsolete:pi028,  obsolete:SPACTOKYO_453.06c,  obsolete:SPACTOKYO_453.07		O13619							
C16A10.05c		Duo1p and Dam1p interacting 1, a component of the DASH and Sim4 complexes that localize to the kinetochore, may have a role in chromosome segregation					SPAC16A10.05c	dad1,  DASH complex subunit Dad1		P87297							
C70.03c	EC1.5.99.8	Member of the proline dehydrogenase family, which are involved in glutamate biosynthesis, has weak similarity to proline oxidase (proline dehydrogenase, human PRODH), which catalyzes the first step in the conversion of proline to glutamate					SPCC70.03c	proline dehydrogenase		O74524							
pi029		Protein of unknown function, appears to localize to the nucleus, has similarity to S. cerevisiae Mrd1p					SPBP22H7.02c	RNA-binding protein,  obsolete:pi029,  obsolete:SPACTOKYO_453.05c		O13620							
C13G7.05	EC2.3.1.26	Member of the membrane bound O-acyl transferase (MBOAT) family, which contains various acyltransferase enzymes, has low similarity to acyl-CoA:sterol acyltransferase (C. albicans Are2p), which is a sterol O-acyltransferase					SPAC13G7.05	acyl-coA-sterol acyltransferase (predicted)		Q10269							
C13G7.06	EC1.8.99.4	Protein with high similarity to 3'-phosphoadenylylsulfate reductase (PAPS, S. cerevisiae Met16p), which functions in the sulfate assimilation pathway, member of the phosphoadenosine phosphosulfate (PAPS) reductase family					SPAC13G7.06	phosphoadenosine phosphosulfate reductase (predicted)		Q10270							
C13G7.07		Protein of unknown function					SPAC13G7.07	sequence orphan		Q10271							
C1F12.03c		Protein of unknown function					SPAC1F12.03c	sequence orphan		Q10345							
C22F3.06c	EC3.4.21.-	Protein with high similarity to S. cerevisiae Pim1p, member of the ATPase family associated with various cellular activities and the ATP-dependent protease La (LON) domain containing family, contains a Lon protease (S16) C-terminal proteolytic domain					SPAC22F3.06c	Lon protease homolog		Q09769							
C1322.14c		Protein that may be involved in phosphate metabolism					SPCC1322.14c	polyphosphate synthetase (predicted)		P78810							
C23G3.02c		Member of the AMP-binding enzyme family and the condensation domain-containing family, which catalyze peptide bond condensation, contains two phosphopantetheine attachment site domains, has a region of weak similarity to a region of S. cerevisiae Lys2p					SPAC23G3.02c	ferrichrome synthetase Sib1		Q9P7T1							
C582.01		Protein of unknown function					SPBC106.19	sequence orphan,  SPBC582.01		Q10340							
C32A11.01		Protein of unknown function					SPAC32A11.01	conserved fungal protein		Q10326							
C21C3.16c		Homolog of human SUPT4H1 protein, which is involved in HIV gene expression, binds Spt5p					SPBC21C3.16c	transcription elongation factor Spt4		Q9P7K8							
C582.08	EC2.6.1.2	Protein containing an aminotransferase class I and II domain, which are found in some pyridoxal-dependent enzymes, has moderate similarity to S. cerevisiae Ylr089p, which is a putative mitochondrial alanine aminotransferase involved in energy pathways					SPBC582.08	alanine aminotransferase		Q10334							
C582.09		Member of the peroxisomal biogenesis factor 11 (PEX11) family, has low similarity to uncharacterized C. albicans Pex11p					SPBC582.09	peroxisomal biogenesis factor 11		Q10333							
isp3: meu4		Protein involved in sexual differentiation, transcription induced during meiosis					SPAC1F8.05	meiotic expression upregulated,  meu4		P40899							
C2F7.10		Member of the DHHC zinc finger domain containing family, contains six ankyrin (Ank) repeats, which may mediate protein-protein interactions, has low similarity to S. cerevisiae Akr1p, which has an inhibitory effect on signaling in the pheromone pathway					SPAC2F7.10	palmitoyltransferase (predicted)		Q09701							
pi030		Member of the DUF590 protein of unknown function family, has a region of weak similarity to a region of S. cerevisiae Ist2p, which is a putative ion channel protein with a role in sensitivity to NaCl					SPBC691.05c	pi030,  ion channel (predicted),  SPBP22H7.01c,  obsolete:pi030,  obsolete:SPACTOKYO_453.04		Q9C0W6							
C30D10.07c	EC6.3.4.15	Protein containing a biotin or lipoate A or B protein ligase family domain and a biotin protein ligase C-terminal domain, has low similarity to biotin protein ligase (S. cerevisiae Bpl1p), which covalently links biotin to acceptor proteins					SPBC30D10.07c	biotin-protein ligase activity (predicted)		O14353							
pi031		Member of the DEAD or DEAH box ATP-dependent RNA helicase and helicase conserved C-terminal domain containing families, has low similarity to S. cerevisiae Rrp3p, which is a helicase required for maturation of pre-rRNA					SPBC691.04	DEAD/DEAH box helicase,  obsolete:pi031,  obsolete:SPACTOKYO_453.03c		O13622							
C2G5.02c		Protein with high similarity to casein kinase II beta polypeptide (regulatory subunit of casein kinase II, human CSNK2B) which confers stability and specificity to CK2 catalytic subunits, contains a casein kinase II regulatory subunit domain					SPBC2G5.02c	CK2 family (regulatory subunit) (predicted)		O94281							
C337.15c		Protein with high similarity to S. cerevisiae Cat5p, which is required for derepression of gluconeogenic enzymes and for coenzyme Q biosynthesis, member of the ubiquinone biosynthesis protein COQ7 family, which may be involved in energy generation					SPBC337.15c	ubiquinone biosynthesis protein Coq7		O74826							
C2F7.15		Protein of unknown function, has a region of moderate similarity to a region of S. cerevisiae Rsm24p, which is a protein of the mitochondrial ribosomal small subunit					SPAC2F7.15	mitochondrial ribosomal protein small subunit S24		Q09705							
pi034		Member of the RINT-1 and TIP-1 family, has weak similarity to C. albicans Tip20p, which interacts with C. albicans Sec20p and may be involved in retrograde transport from the Golgi to the endoplasmic reticulum					SPBC691.02c	RINT1 family protein,  obsolete:pi034,  obsolete:SPACTOKYO_453.01		Q9C0W8							
C13G7.10		Protein containing two Myb-like DNA-binding domains					SPAC13G7.10	transcription factor (predicted)		Q10274							
alp31		Protein containing a tubulin binding cofactor A domain, which stabilize and assist in folding of tubulin					SPAC8E11.07c	tubulin specific chaperone (cofactor A)		Q9Y703							
C1683.10c		Member of the DUF125 Integral membrane protein family					SPBC1683.10c			Q9P6J2							
ste11: aff1: stex		Transcription factor that regulates genes required for mating; contains an HMG box					SPBC32C12.02	transcription factor Ste11,  aff1,  stex		P36631							
pi035		Member of the DHHC zinc finger domain containing family, has low similarity to uncharacterized reduced expression associated with metastasis (human ZDHHC2), which is associated with colorectal cancer and hepatocellular carcinoma					SPBC691.01	palmitoyltransferase (predicted),  obsolete:pi035		Q9C0W9							
C13G7.11		Member of the MBA1-like protein family					SPAC13G7.11	mitochondrial inner membrane protein		Q10275							
C2F7.17		Member of the peptidyl-tRNA hydrolase domain containing family, contains a PCRF domain, has moderate similarity to mitochondrial peptide chain release factor 1 (S. cerevisiae Mrf1p), which directs translation termination in response to termination codons					SPAC2F7.17	peptide chain release factor		Q09691							
pi036		Protein containing a C3HC4 type (RING) zinc finger, which may mediate protein-protein interactions, has low similarity to peroxisomal biogenesis protein (peroxin, S. cerevisiae Pex10p)					SPBC17A3.10	zinc finger protein,  obsolete:pi036		Q9UUF0							
C12B10.02c		Protein of unknown function					SPAC12B10.02c	sequence orphan		Q10436							
pi037		Protein containing a biotin or lipoate A or B protein ligase family domain, has low similarity to uncharacterized human LIPT1					SPBC17A3.09c	lipoate-protein ligase A (predicted),  obsolete:pi037		O13629							
pi038		Member of the TatD-related DNase family, has moderate similarity to twin arginine translocation-D (S. cerevisiae Ybl055p), which possesses both endonuclease and exonuclease activities toward DNA and may act in apoptotic chromosomal DNA fragmentation					SPBC17A3.08	hypothetical protein,  obsolete:pi038		Q9UUF1							
C16A10.06c		Non-SMC (structural maintenance of chromosomes) subunit of the Spr18p-Rad18p DNA repair complex, displays SUMO ligase activity, functions in meiosis					SPAC16A10.06c	Smc5-6 complex non-SMC subunit 2,  obsolete:pli2		P87298							
C70.04c		Protein of unknown function					SPCC70.04c	sequence orphan		O74525							
C23H4.16c		Protein of unknown function					SPAC23H4.16c	sequence orphan		O13957							
C1F12.04c		Protein of unknown function					SPAC1F12.04c	sequence orphan		Q10346							
orp4		Origin recognition complex subunit 4, likely to play a role in chromosome dynamics					SPBP23A10.13	origin recognition complex (subunit 4),  orp4		Q9Y794							
qcr8	EC1.10.2.2	Subunit 8 of ubiquinol cytochrome c reductase (cytochrome bc1) complex					SPAC1782.07	ubiquinol-cytochrome-c reductase complex subunit 7		P50523							
C22F3.07c		Member of the mitochondrial ATP synthase g subunit family					SPAC22F3.07c	ATP synthase (subunit G)		Q09774							
wtf2: c1706.02c							SPBC1706.02c	wtf element,  SPBC1706.02									
C5D6.06c		Protein of unknown function, has moderate similarity to uncharacterized C. albicans Sat2p					SPAC5D6.06c	related to bacterial glycosyl transferase activity enhancer		O14199							
C25A8.01c		Protein containing an SNF2 related N-terminal domain and a helicase conserved C-terminal domain, has moderate similarity to S. cerevisiae Yal019p, which is involved in resistance to UV radiation					SPAC25A8.01c	SNF2 family,  snf2SR		Q9US92							
C12G12.11c		Member of the DUF544 protein of unknown function family, has low similarity to uncharacterized S. cerevisiae Ypl191p					SPAC12G12.11c	conserved eukaryotic protein		Q09874							
C2F3.13c	EC2.4.2.29	Member of the queuine tRNA-ribosyltransferase family, which modify tRNAs for asparagine, aspartic acid, histidine and tyrosine with queuine, has low similarity to uncharacterized human QTRTD1					SPAC2F3.13c	tRNA-ribosyltransferase (predicted)		O14096							
C21C3.17c		Protein of unknown function					SPBC21C3.17c	conserved fungal protein		Q9P7K7							
C1F5.07c	EC1.3.3.4	Protein with low similarity to protoporphyrinogen oxidase (human PPOX), which catalyzes the oxidation of protoporphyrinogen IX to protoporphyrin IX in heme biosynthesis and is associated with variegate porphyria					SPAC1F5.07c	hem14,  protoporphyrinogen oxidase		Q10062							
pi040		Protein containing a dual specificity phosphatase catalytic domain, has low similarity to dual specificity phosphatase 12 (human DUSP12), which may play a role in cell growth and is associated with cancer susceptibility					SPBC17A3.06	protein tyrosine phosphatase (ISS),  obsolete:pi040		O13632							
5srRNA							SPRRNA.10										
mde5: meu30		Member of the alpha-amylase family of 1,4-alpha-D-glucan glucanohydrolases, may play a role in meiosis or sporulation					SPAC25H1.09	alpha-amylase,  meu30,  SPAC4A8.01		O14154							
pi041		Protein containing a DnaJ domain, which are part of chaperone (protein folding) system that mediates interaction with heat shock proteins, has low similarity to C. elegans B0035.14, which is involved in locomotory behavior					SPBC17A3.05c	DNAJ domain protein,  obsolete:pi041		O13633							
pi042	EC6.1.1.10	Protein with high similarity to methionyl-tRNA synthetase (S. cerevisiae Mes1p), which is a cytoplasmic protein, member of the class I isoleucyl, leucyl, valyl, and methionyl (I, L, M, and V) tRNA synthetase family					SPBC17A3.04c	methionine-tRNA ligase (predicted),  obsolete:pi042		Q9UUF2							
pi043		Member of the tyrosine phosphatase family, has a region of moderate similarity to a region of S. cerevisiae Siw14p, which is a protein tyrosine phosphatase (PTPase) that is involved in nutritional control of the cell cycle					SPBC17A3.03c	phosphoprotein phosphatase activity (predicted),  obsolete:pi043		Q9UUF3							
pi044		Member of the NLI interacting factor family, has moderate similarity to S. cerevisiae Ypl063p, which is a mitochondrial translocase complex component that directs matrix protein precursors to S. cerevisiae Tim23p of the mitochondrial import channel					SPBC17A3.01c	TIM23 translocase complex,  SPBC8D2.21c,  obsolete:pi044		O13636							
alp41		Small GTP-binding protein involved in cell polarity					SPAC22F3.05c	ADP-ribosylation factor		Q09767							
C1683.11c	EC4.1.3.1	Protein containing an isocitrate lyase family domain, has low similarity to isocitrate lyase (C. albicans Icl1p), which is required for growth on acetate, ethanol, or oleic acid and maximum virulence					SPBC1683.11c	isocitrate lyase		Q9P6J1							
ksg1		Protein kinase with phosphoinositide-binding activity that is involved in growth, mating, sporulation, and cell wall integrity					SPCC576.15c	phosphoinositide-dependent kinase 1 family		Q12701							
C23H4.17c		Putative G protein-coupled receptor kinase, component of a mediator subcomplex that apparently functions in the negative regulation of transcription					SPAC23H4.17c	cyclin-dependent protein kinase (predicted)		O13958							
C70.05c		Protein containing a protein kinase domain, has weak similarity to S. pombe Hal4p, which is a protein kinase involved in response to cation stress with Sty1p and regulation of potassium uptake through Trk1p					SPCC70.05c	serine/threonine protein kinase (predicted)		Q9UTZ9							
misc_RNA_4.4.31			transcribed strand (GeneDB); 7SL signal recognition particle component				SPNCRNA.98	7SL signal recognition particle component (PMID:2837764) (PMID:1315954),  srp									
C22F3.08c		Member of the helicase conserved C-terminal domain containing family, contains a DEAD/DEAH box helicase domain, has moderate similarity to C. albicans Rok1p, which is an ATP-dependent RNA helicase					SPAC22F3.08c	DEAD/DEAH box helicase		Q09775							
C5D6.07c		Member of the phox-associated (PXA) domain containing family					SPAC5D6.07c	hypothetical protein		O14200							
rpl15-2		Protein with high similarity to ribosomal protein L15 (S. cerevisiae Rpl15bp), which is a structural component of ribosome, may bind RNA, and may function in protein biosynthesis, member of the ribosomal L15e family					SPAC1783.08c	60S ribosomal protein L15b,  rpl15-2									
yip1		Protein that may be involved in mRNA metabolism or pre-RNA splicing, putative ortholog of human SIP1, identical to S. pombe Yip1-bp					SPAPB17E12.02	SMN family,  yip1,  yip1-b									
C29B12.05c		Protein of unknown function, has moderate similarity to uncharacterized C. albicans Orf19.499p					SPAC29B12.05c	S-adenosylmethionine-dependent methyltransferase		O14028							
C2F3.14c		Protein containing a WW domain, which bind proline-rich peptide epitopes					SPAC2F3.14c	sequence orphan		O14097							
C550.15c		Protein containing three zinc finger C2H2 type repeats, which bind nucleic acids, has low similarity to zinc finger-like protein 9 (human ZNF622), which is a homodimeric transcription factor that binds human MYBL2 and enhances transcriptional activity					SPCC550.15c	zinc finger protein		O59811							
C6G9.06c		Calmodulin-binding protein involved in monitoring the alignment of the metaphase spindle, has homology to S. cerevisiae Spc110p					SPAC6G9.06c	pericentrin homolog Pcp1		Q92351							
cmk1		Calmodulin-dependent protein kinase, homolog of calmodulin kinase I					SPACUNK12.02c	serine/threonine protein kinase,  obsolete:SPAC25D11.02C		Q9P7I2							
cmk2		Calmodulin-dependent kinase involved in G2- to M-phase progression and in the response to oxidative stress					SPAC23A1.06c	MAPK-activated protein kinase,  mkp2		O42844							
C577.03c		Protein containing an acetyltransferase (GNAT) domain, has moderate similarity to uncharacterized human NAT9					SPBC577.03c	N-acetyltransferase (predicted)		Q9USR6							
gpa2: git8		G-protein, alpha subunit, of the Gpa2p/Git5p/Git11p heterotrimeric G protein involved in the glucose response pathway					SPAC23H3.13c	heterotrimeric G protein alpha-2 subunit Gpa2,  git8		Q04665							
C30D10.09c		Member of the TB2 or DP1 and HVA22 related protein family					SPBC30D10.09c	TB2/DP1 domain		O14355							
C2G5.04c		Protein with low similarity to S. cerevisiae Erv41p, which is a component of COPII-coated vesicles, involved in vesicular transport between the endoplasmic reticulum and the Golgi apparatus					SPBC2G5.04c	COPII-coated vesicle component (predicted)		O94283							
C24B10.14c		Protein of unknown function					SPCC24B10.14c	sequence orphan		Q9P7J2							
C337.17c		Protein with moderate similarity to S. cerevisiae Esf1p, which is required for 18S rRNA biogenesis					SPBC1734.01c	RNA binding protein,  SPBC337.17c		O74828							
C1F12.06c		Member of the endonuclease V family, has moderate similarity to uncharacterized human FLJ35220					SPAC1F12.06c	conserved protein (broad species distribution)		Q10348							
swi10		Excision repair and mating-type switching protein					SPBC4F6.15c	DNA repair endonuclease,  rad23		Q06182							
