CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG13984	FBan0013984	FBgn0031796	CG13984	CG13984	
CG3502	FBan0003502	FBgn0046253	CG3502	CG3502	FBgn0034847
CG4231	FBan0004231	FBgn0026397	Or22b	Odorant receptor 22b	
CG4233	FBan0004233	FBgn0001125	Got2	Glutamate oxaloacetate transaminase 2	FBgn0031380
CG3504	FBan0003504	FBgn0001263	inaD	inactivation no afterpotential D	
CG13988	FBan0013988	FBgn0040951	CG13988	CG13988	
CG3505	FBan0003505	FBgn0038250	CG3505	CG3505	
CG13989	FBan0013989	FBgn0031786	CG13989	CG13989	FBgn0047349
CG3506	FBan0003506	FBgn0003970	vas	vasa	FBgn0004805
CG4236	FBan0004236	FBgn0015610	Caf1	Chromatin assembly factor 1 subunit	FBgn0016688
CG4237	FBan0004237	FBgn0020655	Gap69C	GTPase-activating protein 69C	
CG3508	FBan0003508	FBgn0038251	CG3508	CG3508	
CG3509	FBan0003509	FBgn0038252	CG3509	CG3509	
CG4238	FBan0004238	FBgn0031384	CG4238	CG4238	
CG4239	FBan0004239	FBgn0030745	CG4239	CG4239	
CG11010	FBan0011010	FBgn0036319	Ent3	Equilibrative nucleoside transporter 3	
CG11012	FBan0011012	FBgn0026756	Ugt37a1	UDP-glycosyltransferase 37a1	FBgn0032855
CG11015	FBan0011015	FBgn0031830	CG11015	CG11015	FBgn0025316,FBgn0062184,FBgn0064803
CG11018	FBan0011018	FBgn0034464	CG11018	CG11018	FBgn0044761
CG11019	FBan0011019	FBgn0040998	CG11019	CG11019	
CG13990	FBan0013990	FBgn0040950	CG13990	CG13990	FBgn0047122
CG13991	FBan0013991	FBgn0031785	CG13991	CG13991	
CG13992	FBan0013992	FBgn0031756	CG13992	CG13992	
CG13993	FBan0013993	FBgn0031776	CG13993	CG13993	FBgn0027693
CG3510	FBan0003510	FBgn0000405	CycB	Cyclin B	
CG3511	FBan0003511	FBgn0035027	CG3511	CG3511	
CG13994	FBan0013994	FBgn0031772	CG13994	CG13994	FBgn0061429,FBgn0064986
CG4241	FBan0004241	FBgn0067783	att-ORFA	alternative testis transcripts open reading frame A	FBgn0019839,FBgn0038801
CG13995	FBan0013995	FBgn0031770	CG13995	CG13995	FBgn0046571,FBgn0046573
CG13996	FBan0013996	FBgn0031763	CG13996	CG13996	
CG3513	FBan0003513	FBgn0031559	CG3513	CG3513	
CG13997	FBan0013997	FBgn0031754	CG13997	CG13997	
CG3515	FBan0003515	FBgn0031431	CG3515	CG3515	
CG13998	FBan0013998	FBgn0040949	CG13998	CG13998	
CG4244	FBan0004244	FBgn0003557	Su(dx)	Suppressor of deltex	FBgn0043511,FBgn0043512,FBgn0043513
CG13999	FBan0013999	FBgn0031753	CG13999	CG13999	
CG3517	FBan0003517	FBgn0038706	CG3517	CG3517	
CG4247	FBan0004247	FBgn0038307	mRpS10	mitochondrial ribosomal protein S10	FBgn0064933
CG4249	FBan0004249	FBgn0028525	c(2)M	crossover suppressor on 2 of Manheim	
CG11020	FBan0011020	FBgn0016920	nompC	no mechanoreceptor potential C	FBgn0001928,FBgn0031704,FBgn0031705
CG11023	FBan0011023	FBgn0031208	CG11023	CG11023	
CG11024	FBan0011024	FBgn0000318	cl	clot	FBgn0031709,FBgn0063070
CG11025	FBan0011025	FBgn0028372	isopeptidase-T-3	isopeptidase-T-3	
CG11027	FBan0011027	FBgn0013749	Arf102F	ADP ribosylation factor 102F	
CG11029	FBan0011029	FBgn0031735	CG11029	CG11029	
CG3520	FBan0003520	FBgn0034859	CG3520	CG3520	
CG4250	FBan0004250	FBgn0034761	CG4250	CG4250	FBgn0062931
CG3522	FBan0003522	FBgn0035028	Start1	Start1	
CG3523	FBan0003523	FBgn0027571	CG3523	CG3523	FBgn0027682,FBgn0027719,FBgn0044793
CG4252	FBan0004252	FBgn0004367	mei-41	meiotic 41	FBgn0002708,FBgn0002880
CG3524	FBan0003524	FBgn0042627	v(2)k05816	v(2)k05816	FBgn0031502
CG3525	FBan0003525	FBgn0000536	eas	easily shocked	FBgn0043963,FBgn0044449
CG4254	FBan0004254	FBgn0011726	tsr	twinstar	FBgn0011567,FBgn0020533,FBgn0020539,FBgn0022163,FBgn0024209
CG3526	FBan0003526	FBgn0040355	CG3526	CG3526	FBgn0029640
CG3527	FBan0003527	FBgn0029714	CG3527	CG3527	
CG4257	FBan0004257	FBgn0016917	Stat92E	Signal-transducer and activator of transcription protein at 92E	FBgn0010885,FBgn0011396,FBgn0015512
CG3528	FBan0003528	FBgn0031430	CG3528	CG3528	
CG4258	FBan0004258	FBgn0020305	dbe	dribble	FBgn0022118,FBgn0022171,FBgn0024894
CG3529	FBan0003529	FBgn0035995	CG3529	CG3529	
CG4259	FBan0004259	FBgn0031389	CG4259	CG4259	
CG10300	FBan0010300	FBgn0039107	CG10300	CG10300	
CG11030	FBan0011030	FBgn0031736	CG11030	CG11030	
CG10301	FBan0010301	FBgn0039106	CG10301	CG10301	
CG10302	FBan0010302	FBgn0032679	bsf	bicoid stability factor	
CG10303	FBan0010303	FBgn0037412	Osi4	Osiris 4	
CG11033	FBan0011033	FBgn0037659	CG11033	CG11033	
CG11034	FBan0011034	FBgn0031741	CG11034	CG11034	
CG10305	FBan0010305	FBgn0004413	RpS26	Ribosomal protein S26	FBgn0003280,FBgn0004088,FBgn0011775,FBgn0025235
CG11035	FBan0011035	FBgn0037544	CG11035	CG11035	FBgn0062016
CG10306	FBan0010306	FBgn0034654	CG10306	CG10306	
CG10307	FBan0010307	FBgn0034655	CG10307	CG10307	
CG10308	FBan0010308	FBgn0010317	CycJ	Cyclin J	
CG11037	FBan0011037	FBgn0037038	CG11037	CG11037	
CG10309	FBan0010309	FBgn0038418	CG10309	CG10309	
CG3530	FBan0003530	FBgn0028497	CG3530	CG3530	FBgn0040661
CG4260	FBan0004260	FBgn0015567	&agr;-Adaptin	&agr;-Adaptin	FBgn0010623
CG3532	FBan0003532	FBgn0037979	CG3532	CG3532	
CG4261	FBan0004261	FBgn0022787	Hel89B	Helicase 89B	
CG4262	FBan0004262	FBgn0000570	elav	embryonic lethal, abnormal vision	FBgn0040177,FBgn0040203
CG3533	FBan0003533	FBgn0004055	uzip	unzipped	
CG3534	FBan0003534	FBgn0038463	CG3534	CG3534	
CG4264	FBan0004264	FBgn0001219	Hsc70-4	Heat shock protein cognate 4	FBgn0010802,FBgn0011400,FBgn0024549,FBgn0062154
CG3536	FBan0003536	FBgn0034775	CG3536	CG3536	
CG4265	FBan0004265	FBgn0010288	Uch	Ubiquitin carboxy-terminal hydrolase	
CG2807	FBan0002807	FBgn0031266	CG2807	CG2807	FBgn0025944
CG2808	FBan0002808	FBgn0031556	CG2808	CG2808	
CG4266	FBan0004266	FBgn0034598	CG4266	CG4266	
CG4267	FBan0004267	FBgn0031405	CG4267	CG4267	
CG4268	FBan0004268	FBgn0016696	Pitslre	Pitslre	FBgn0013968
CG3539	FBan0003539	FBgn0015816	Slh	SLY-1 homologous	
CG4269	FBan0004269	FBgn0034741	CG4269	CG4269	
CG10311	FBan0010311	FBgn0038420	CG10311	CG10311	FBgn0043812
CG11041	FBan0011041	FBgn0034481	CG11041	CG11041	
CG11042	FBan0011042	FBgn0030094	CG11042	CG11042	
CG11043	FBan0011043	FBgn0031831	CG11043	CG11043	
CG11044	FBan0011044	FBgn0034484	CG11044	CG11044	
CG10315	FBan0010315	FBgn0034858	eIF2B-&dgr;	eIF2B-&dgr;	
CG10317	FBan0010317	FBgn0038423	CG10317	CG10317	
CG10318	FBan0010318	FBgn0034650	NC2&agr;	NC2&agr;	
CG11048	FBan0011048	FBgn0034487	CG11048	CG11048	
CG11049	FBan0011049	FBgn0005561	sv	shaven	FBgn0003468,FBgn0003649,FBgn0004541,FBgn0020913
CG3540	FBan0003540	FBgn0023541	Cyp4d14	Cyp4d14	FBgn0029602
CG2811	FBan0002811	FBgn0035082	CG2811	CG2811	FBgn0047065
CG4270	FBan0004270	FBgn0031407	CG4270	CG4270	FBgn0063357
CG2812	FBan0002812	FBgn0034931	CG2812	CG2812	
CG3542	FBan0003542	FBgn0031492	CG3542	CG3542	
CG4271	FBan0004271	FBgn0031409	CG4271	CG4271	
CG2813	FBan0002813	FBgn0031268	CG2813	CG2813	
CG4272	FBan0004272	FBgn0028485	CG4272	CG4272	
CG3544	FBan0003544	FBgn0031279	CG3544	CG3544	
CG2816	FBan0002816	FBgn0031564	CG2816	CG2816	
CG4274	FBan0004274	FBgn0001086	fzy	fizzy	
CG3546	FBan0003546	FBgn0029716	CG3546	CG3546	
CG4276	FBan0004276	FBgn0029095	aru	arouser	FBgn0031290
CG2818	FBan0002818	FBgn0031566	CG2818	CG2818	
CG3548	FBan0003548	FBgn0035033	CG3548	CG3548	
CG2819	FBan0002819	FBgn0023489	Pph13	PvuII-PstI homology 13	FBgn0008638
CG4278	FBan0004278	FBgn0014092	CG4278	CG4278	
CG10320	FBan0010320	FBgn0034645	CG10320	CG10320	FBgn0027667,FBgn0027680
CG4279	FBan0004279	FBgn0034600	CG4279	CG4279	
CG10321	FBan0010321	FBgn0034643	CG10321	CG10321	
CG11050	FBan0011050	FBgn0031836	CG11050	CG11050	FBgn0063152
CG11051	FBan0011051	FBgn0040813	Nplp2	Neuropeptide-like precursor 2	FBgn0062965
CG11052	FBan0011052	FBgn0040524	CG11052	CG11052	
CG10324	FBan0010324	FBgn0038454	CG10324	CG10324	
CG11053	FBan0011053	FBgn0031838	CG11053	CG11053	
CG10325	FBan0010325	FBgn0000014	abd-A	abdominal A	
CG11055	FBan0011055	FBgn0034491	CG11055	CG11055	
CG10326	FBan0010326	FBgn0038453	CG10326	CG10326	
CG10327	FBan0010327	FBgn0025790	TBPH	TBPH	
CG10328	FBan0010328	FBgn0015520	nonA-l	nonA-like	FBgn0026581
CG11059	FBan0011059	FBgn0039928	cals	calsyntenin-1	
CG4280	FBan0004280	FBgn0015924	crq	croquemort	FBgn0011572,FBgn0044547,FBgn0051655
CG2822	FBan0002822	FBgn0003386	Shaw	Shaker cognate w	FBgn0040710
CG3552	FBan0003552	FBgn0035999	CG3552	CG3552	
CG4281	FBan0004281	FBgn0025626	CG4281	CG4281	
CG4282	FBan0004282	FBgn0034114	CG4282	CG4282	
CG2826	FBan0002826	FBgn0040107	lectin-21Ca	lectin-21Ca	FBgn0031272
CG4285	FBan0004285	FBgn0038310	CG4285	CG4285	FBgn0051154,FBgn0062882
CG3556	FBan0003556	FBgn0029708	CG3556	CG3556	
CG2827	FBan0002827	FBgn0023477	Tal	Tal	FBgn0034934
CG4286	FBan0004286	FBgn0034601	CG4286	CG4286	
CG3557	FBan0003557	FBgn0031423	CG3557	CG3557	
CG3558	FBan0003558	FBgn0025681	CG3558	CG3558	FBgn0031487
CG4287	FBan0004287	FBgn0038388	CG4287	CG4287	
CG4288	FBan0004288	FBgn0038799	CG4288	CG4288	
CG4289	FBan0004289	FBgn0037020	CG4289	CG4289	
CG11060	FBan0011060	FBgn0033149	CG11060	CG11060	
CG11061	FBan0011061	FBgn0034697	GM130	GM130	
CG10332	FBan0010332	FBgn0034881	CG10332	CG10332	FBgn0045894,FBgn0045895,FBgn0045896,FBgn0063722,FBgn0069058
CG10333	FBan0010333	FBgn0032690	CG10333	CG10333	
CG11062	FBan0011062	FBgn0024913	activin-&bgr;	activin-&bgr;	FBgn0065994
CG10334	FBan0010334	FBgn0005672	spi	spitz	FBgn0002048,FBgn0003474,FBgn0010472,FBgn0010690,FBgn0062206
CG11063	FBan0011063	FBgn0030530	CG11063	CG11063	
CG11064	FBan0011064	FBgn0016724	RfaBp	Retinoid- and fatty-acid binding protein	
CG10335	FBan0010335	FBgn0036271	Pbgs	Porphobilinogen synthase	
CG10336	FBan0010336	FBgn0032698	CG10336	CG10336	
CG11066	FBan0011066	FBgn0033033	scarface	scarface	FBgn0033034
CG10337	FBan0010337	FBgn0032805	CG10337	CG10337	
CG10338	FBan0010338	FBgn0032700	CG10338	CG10338	
CG11068	FBan0011068	FBgn0030536	CG11068	CG11068	
CG10339	FBan0010339	FBgn0034972	CG10339	CG10339	
CG11069	FBan0011069	FBgn0039244	CG11069	CG11069	
CR32122	FBan0032122	FBgn0012009	tRNA:V4:70BCa	transfer RNA:val4:70BCa	FBgn0003858,FBgn0012007,FBgn0052122,FBgn0060032
CR32123	FBan0032123	FBgn0052123	CR32123	CR32123	FBgn0060170
CR32124	FBan0032124	FBgn0012010	tRNA:V4:70BCb	transfer RNA:val4:70BCb	FBgn0003858,FBgn0012007,FBgn0052124,FBgn0060031
CR32125	FBan0032125	FBgn0011844	tRNA:D2:69F	transfer RNA:asp2:69F	FBgn0052125,FBgn0060265
CR32126	FBan0032126	FBgn0052126	CR32126	CR32126	FBgn0060124
CR32127	FBan0032127	FBgn0052127	CR32127	CR32127	FBgn0060165
CR32128	FBan0032128	FBgn0052128	CR32128	CR32128	FBgn0060125
CR32129	FBan0032129	FBgn0052129	CR32129	CR32129	FBgn0060126
CG2830	FBan0002830	FBgn0011244	Hsp60B	Heat shock protein 60 related	FBgn0031274,FBgn0044567
CG3560	FBan0003560	FBgn0030733	CG3560	CG3560	FBgn0025544,FBgn0062937
CG3561	FBan0003561	FBgn0031280	CG3561	CG3561	
CG4290	FBan0004290	FBgn0025625	CG4290	CG4290	
CG4291	FBan0004291	FBgn0031287	CG4291	CG4291	
CG3563	FBan0003563	FBgn0038259	CG3563	CG3563	FBgn0045903,FBgn0045914
CG2835	FBan0002835	FBgn0001123	G-s&agr;60A	G protein s&agr; 60A	
CG3564	FBan0003564	FBgn0029709	CG3564	CG3564	
CG4293	FBan0004293	FBgn0024983	CG4293	CG4293	
CG4294	FBan0004294	FBgn0034742	CG4294	CG4294	
CG3565	FBan0003565	FBgn0035034	CG3565	CG3565	FBgn0044701
CG2837	FBan0002837	FBgn0031646	CG2837	CG2837	
CG3566	FBan0003566	FBgn0029854	CG3566	CG3566	FBgn0047011
CG3567	FBan0003567	FBgn0033121	Cyp6u1	Cyp6u1	
CG3568	FBan0003568	FBgn0029710	CG3568	CG3568	
CG2839	FBan0002839	FBgn0031273	CG2839	CG2839	
CG4297	FBan0004297	FBgn0031258	CG4297	CG4297	
CG3569	FBan0003569	FBgn0034865	Or59b	Odorant receptor 59b	
CG4299	FBan0004299	FBgn0014879	Set	Set	
CG10340	FBan0010340	FBgn0022344	CG10340	CG10340	
CG11070	FBan0011070	FBgn0028467	CG11070	CG11070	
CG10341	FBan0010341	FBgn0032701	CG10341	CG10341	
CG10342	FBan0010342	FBgn0027109	npf	neuropeptide F	
CG11071	FBan0011071	FBgn0030532	CG11071	CG11071	
CG10343	FBan0010343	FBgn0032703	CG10343	CG10343	FBgn0062230
CG11072	FBan0011072	FBgn0030535	CG11072	CG11072	
CG10344	FBan0010344	FBgn0034729	CG10344	CG10344	
CG11073	FBan0011073	FBgn0034693	CG11073	CG11073	
CG10345	FBan0010345	FBgn0027562	CG10345	CG10345	
CG10346	FBan0010346	FBgn0032705	Grip71	Grip71	
CG11076	FBan0011076	FBgn0039929	CG11076	CG11076	
CG10347	FBan0010347	FBgn0030342	CG10347	CG10347	
CG11077	FBan0011077	FBgn0039930	CG11077	CG11077	
CG10348	FBan0010348	FBgn0032707	CG10348	CG10348	
CG10349	FBan0010349	FBgn0015350	CG10349	CG10349	
CG11079	FBan0011079	FBgn0034851	CG11079	CG11079	FBgn0062220
CR31400	FBan0031400	FBgn0001234	Hsr&ohgr;	Heat shock RNA &ohgr;	FBgn0051400
CG2841	FBan0002841	FBgn0003159	ptr	proximal to raf	FBgn0029614
CG3570	FBan0003570	FBgn0035035	CG3570	CG3570	
CG3571	FBan0003571	FBgn0037978	CG3571	CG3571	FBgn0062189
CG2843	FBan0002843	FBgn0031452	CG2843	CG2843	
CG3572	FBan0003572	FBgn0022960	vimar	visceral mesodermal armadillo-repeats	FBgn0021806,FBgn0027729
CG3573	FBan0003573	FBgn0023508	CG3573	CG3573	
CG2845	FBan0002845	FBgn0003079	phl	pole hole	FBgn0040149
CG2846	FBan0002846	FBgn0014930	CG2846	CG2846	
CG3576	FBan0003576	FBgn0040918	Lag1	Longevity assurance gene 1	FBgn0026692,FBgn0028312,FBgn0029852,FBgn0040141
CG2848	FBan0002848	FBgn0031456	Trn-SR	Transportin-Serine/Arginine rich	FBgn0025293
CG3578	FBan0003578	FBgn0000179	bi	bifid	FBgn0002996,FBgn0003183,FBgn0004104
CG2849	FBan0002849	FBgn0015286	Rala	Ras-related protein	FBgn0025241,FBgn0027285,FBgn0028308,FBgn0040134
CG3579	FBan0003579	FBgn0035037	CG3579	CG3579	
CG11081	FBan0011081	FBgn0025741	plexA	plexin A	FBgn0062490
CG10352	FBan0010352	FBgn0030348	CG10352	CG10352	
CG10353	FBan0010353	FBgn0030349	CG10353	CG10353	
CG10354	FBan0010354	FBgn0031868	CG10354	CG10354	
CG11084	FBan0011084	FBgn0003090	pk	prickle	FBgn0003477,FBgn0033151,FBgn0040783
CG11085	FBan0011085	FBgn0030408	CG11085	CG11085	
CG11086	FBan0011086	FBgn0033153	CG11086	CG11086	FBgn0062909
CG10357	FBan0010357	FBgn0035453	CG10357	CG10357	
CG10359	FBan0010359	FBgn0035452	CG10359	CG10359	
CG11089	FBan0011089	FBgn0039241	CG11089	CG11089	FBgn0043823
CR32142	FBan0032142	FBgn0011927	tRNA:M3:70Fa	transfer RNA:met3:70Fa	FBgn0003814,FBgn0052142,FBgn0060145
CR32144	FBan0032144	FBgn0011928	tRNA:M3:70Fb	transfer RNA:met3:70Fb	FBgn0003814,FBgn0052144,FBgn0060144
CR31416	FBan0031416	FBgn0051416	CR31416	CR31416	FBgn0060255
CG2851	FBan0002851	FBgn0010323	Gsc	Goosecoid	FBgn0004887,FBgn0008637,FBgn0010598
CG2852	FBan0002852	FBgn0034753	CG2852	CG2852	
CG3581	FBan0003581	FBgn0038697	CG3581	CG3581	
CG3582	FBan0003582	FBgn0017457	U2af38	U2 small nuclear riboprotein auxiliary factor 38	FBgn0010626
CG2854	FBan0002854	FBgn0040391	CG2854	CG2854	FBgn0029611
CG3584	FBan0003584	FBgn0022984	qkr58E-3	quaking related 58E-3	FBgn0025581
CG2855	FBan0002855	FBgn0031458	aph-1	anterior pharynx defective 1	FBgn0013528
CG3585	FBan0003585	FBgn0023458	CG3585	CG3585	FBgn0015656
CG2857	FBan0002857	FBgn0035078	CG2857	CG2857	
CG3587	FBan0003587	FBgn0023521	CG3587	CG3587	
CG2859	FBan0002859	FBgn0028398	Taf10	TBP-associated factor 10	FBgn0062976
CG3588	FBan0003588	FBgn0025643	CG3588	CG3588	
CG3589	FBan0003589	FBgn0035065	CG3589	CG3589	
CG10360	FBan0010360	FBgn0003231	ref(2)P	refractory to sigma P	
CG10361	FBan0010361	FBgn0036208	CG10361	CG10361	
CG11091	FBan0011091	FBgn0039931	sphinx	sphinx	
CG10362	FBan0010362	FBgn0030358	CG10362	CG10362	
CG10363	FBan0010363	FBgn0041180	TepIV	Thiolester containing protein IV	FBgn0032806
CG11092	FBan0011092	FBgn0027537	CG11092	CG11092	
CG11093	FBan0011093	FBgn0039932	CG11093	CG11093	
CG10364	FBan0010364	FBgn0027949	msb1l	msb1l	
CG10365	FBan0010365	FBgn0039109	CG10365	CG10365	FBgn0062048
CG11094	FBan0011094	FBgn0000504	dsx	doublesex	
CG10366	FBan0010366	FBgn0032814	CG10366	CG10366	
CG11095	FBan0011095	FBgn0030528	CG11095	CG11095	
CG10367	FBan0010367	FBgn0001205	Hmgcr	HMG Coenzyme A reductase	FBgn0010738,FBgn0024247,FBgn0061415
CG11098	FBan0011098	FBgn0031842	CG11098	CG11098	
CG10369	FBan0010369	FBgn0032706	Irk3	Inwardly rectifying potassium channel 3	
CG11099	FBan0011099	FBgn0034485	CG11099	CG11099	
CR32153	FBan0032153	FBgn0052153	CR32153	CR32153	FBgn0060143
CG2861	FBan0002861	FBgn0029728	CG2861	CG2861	
CG3590	FBan0003590	FBgn0038467	CG3590	CG3590	
CG2862	FBan0002862	FBgn0031459	CG2862	CG2862	
CG3592	FBan0003592	FBgn0029642	CG3592	CG3592	
CG2863	FBan0002863	FBgn0021874	Nle	Notchless	FBgn0042663
CG2864	FBan0002864	FBgn0023216	Parg	Poly(ADP-ribose) glycohydrolase	
CG3593	FBan0003593	FBgn0003257	r-l	rudimentary-like	
CG2865	FBan0002865	FBgn0023526	CG2865	CG2865	FBgn0066840
CG3594	FBan0003594	FBgn0035063	Eap	Exu-associated protein	
CG3595	FBan0003595	FBgn0003514	sqh	spaghetti squash	
CG2867	FBan0002867	FBgn0004901	Prat	Phosphoribosylamidotransferase	
CG3597	FBan0003597	FBgn0031417	CG3597	CG3597	
CG3598	FBan0003598	FBgn0025645	CG3598	CG3598	
CG3599	FBan0003599	FBgn0029848	CG3599	CG3599	
CG10370	FBan0010370	FBgn0028684	Tbp-1	Tat-binding protein-1	FBgn0010835,FBgn0026321,FBgn0027925,FBgn0045868,FBgn0045870,FBgn0045946
CG10371	FBan0010371	FBgn0039111	Plip	PTEN-like phosphatase	
CG10372	FBan0010372	FBgn0025608	Faf	Fas-associated factor	
CG10373	FBan0010373	FBgn0032704	CG10373	CG10373	
CG10374	FBan0010374	FBgn0039114	Lsd-1	Lipid storage droplet-1	
CG10375	FBan0010375	FBgn0039116	CG10375	CG10375	
CG10376	FBan0010376	FBgn0032702	CG10376	CG10376	
CG10377	FBan0010377	FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	FBgn0010261,FBgn0016665,FBgn0019729,FBgn0061493
CG10379	FBan0010379	FBgn0015513	mbc	myoblast city	
CR31430	FBan0031430	FBgn0012004	tRNA:V3b:92Bb	transfer RNA:val3b:92Bb	FBgn0003855,FBgn0011997,FBgn0012005,FBgn0012006,FBgn0051430,FBgn0060021
CR31432	FBan0031432	FBgn0051432	CR31432	CR31432	FBgn0011989,FBgn0060037
CR32162	FBan0032162	FBgn0041721	snRNA:U12:73B	snRNA:U12:73B	FBgn0046354,FBgn0052162
CR31433	FBan0031433	FBgn0012025	tRNA:Y1:85Ab	transfer RNA:tyr1:85Ab	FBgn0003849,FBgn0012014,FBgn0051433,FBgn0060004
CR31434	FBan0031434	FBgn0012026	tRNA:Y1:85Ac	transfer RNA:tyr1:85Ac	FBgn0003849,FBgn0012014,FBgn0051434,FBgn0060003
CR31435	FBan0031435	FBgn0012024	tRNA:Y1:85Aa	transfer RNA:tyr1:85Aa	FBgn0003849,FBgn0012014,FBgn0051435,FBgn0060005
CG2871	FBan0002871	FBgn0029725	CG2871	CG2871	
CG2872	FBan0002872	FBgn0028961	AlstR	Allatostatin Receptor	FBgn0024990,FBgn0040320
CG2875	FBan0002875	FBgn0029672	CG2875	CG2875	
CG2879	FBan0002879	FBgn0025834	CG2879	CG2879	
CG10382	FBan0010382	FBgn0025878	wrapper	wrapper	
CG10383	FBan0010383	FBgn0032699	CG10383	CG10383	
CG10384	FBan0010384	FBgn0034731	CG10384	CG10384	
CG10385	FBan0010385	FBgn0005617	msl-1	male-specific lethal 1	FBgn0001318,FBgn0002851
CG10387	FBan0010387	FBgn0015553	tos	tosca	
CG10388	FBan0010388	FBgn0003944	Ubx	Ultrabithorax	FBgn0024276
CR31443	FBan0031443	FBgn0011966	tRNA:R:85Ca	transfer RNA:arg:85Ca	FBgn0003756,FBgn0011947,FBgn0051443,FBgn0060076
CR32173	FBan0032173	FBgn0052173	CR32173	CR32173	FBgn0060117
CG2885	FBan0002885	FBgn0030200	RabX2	RabX2	
CG2887	FBan0002887	FBgn0030207	CG2887	CG2887	
CG2889	FBan0002889	FBgn0030206	CG2889	CG2889	
CG10391	FBan0010391	FBgn0032693	Cyp310a1	Cyp310a1	FBgn0019863
CG10392	FBan0010392	FBgn0040295	Ogt	O-glycosyltransferase	FBgn0027591
CG10393	FBan0010393	FBgn0003270	amos	absent MD neurons and olfactory sensilla	FBgn0003689,FBgn0027104
CG10395	FBan0010395	FBgn0033019	CG10395	CG10395	
CG10396	FBan0010396	FBgn0033020	CG10396	CG10396	FBgn0063752
CG10399	FBan0010399	FBgn0031877	CG10399	CG10399	
CG2890	FBan0002890	FBgn0030208	PPP4R2r	Protein phosphatase 4 regulatory subunit 2-related protein	FBgn0029505
CG32100	FBan0032100	FBgn0052100	CG32100	CG32100	FBgn0036269,FBgn0036270
CG32102	FBan0032102	FBgn0052102	CG32102	CG32102	FBgn0063020
CG32103	FBan0032103	FBgn0052103	CG32103	CG32103	FBgn0036283,FBgn0036284
CG32104	FBan0032104	FBgn0052104	CG32104	CG32104	FBgn0036280,FBgn0036281,FBgn0040243
CG2898	FBan0002898	FBgn0030195	CG2898	CG2898	
CG32105	FBan0032105	FBgn0052105	CG32105	CG32105	FBgn0036275,FBgn0036276
CG32106	FBan0032106	FBgn0052106	CG32106	CG32106	FBgn0064958
CG2899	FBan0002899	FBgn0015402	ksr	kinase suppressor of ras	FBgn0011387
CG32107	FBan0032107	FBgn0052107	CG32107	CG32107	
CG32108	FBan0032108	FBgn0052108	CG32108	CG32108	FBgn0062863
CG32109	FBan0032109	FBgn0052109	CG32109	CG32109	FBgn0036304
CG32110	FBan0032110	FBgn0052110	CG32110	CG32110	FBgn0043541
CG32111	FBan0032111	FBgn0052111	CG32111	CG32111	
CG32112	FBan0032112	FBgn0052112	CG32112	CG32112	FBgn0036304
CG32113	FBan0032113	FBgn0052113	CG32113	CG32113	FBgn0036307,FBgn0036308
CG32114	FBan0032114	FBgn0052114	CG32114	CG32114	
CG32115	FBan0032115	FBgn0052115	CG32115	CG32115	FBgn0064884
CG32117	FBan0032117	FBgn0052117	CG32117	CG32117	
CG32118	FBan0032118	FBgn0052118	CG32118	CG32118	
CG32119	FBan0032119	FBgn0052119	CG32119	CG32119	FBgn0045100,FBgn0061465
CR31471	FBan0031471	FBgn0051471	CR31471	CR31471	FBgn0060047
CG9300	FBan0009300	FBgn0036886	CG9300	CG9300	
CG9302	FBan0009302	FBgn0032514	CG9302	CG9302	FBgn0061636
CG9304	FBan0009304	FBgn0034674	CG9304	CG9304	
CR31476	FBan0031476	FBgn0011971	tRNA:S2b:88A	transfer RNA:ser2b:88A	FBgn0011968,FBgn0011969,FBgn0051476,FBgn0060055
CG9305	FBan0009305	FBgn0032512	CG9305	CG9305	
CG9306	FBan0009306	FBgn0032511	CG9306	CG9306	
CG9307	FBan0009307	FBgn0038180	CG9307	CG9307	
CG9308	FBan0009308	FBgn0034681	CG9308	CG9308	
CG32120	FBan0032120	FBgn0002573	sens	senseless	FBgn0011709,FBgn0027151,FBgn0036355,FBgn0052120
CG32121	FBan0032121	FBgn0052121	CG32121	CG32121	
CR31480	FBan0031480	FBgn0051480	CR31480	CR31480	FBgn0011990,FBgn0023420,FBgn0060041
CG9310	FBan0009310	FBgn0004914	Hnf4	Hepatocyte nuclear factor 4	FBgn0032062
CG9311	FBan0009311	FBgn0036448	CG9311	CG9311	
CG9312	FBan0009312	FBgn0038179	CG9312	CG9312	
CR31485	FBan0031485	FBgn0051485	CR31485	CR31485	FBgn0060191
CG9313	FBan0009313	FBgn0034566	CG9313	CG9313	
CG9314	FBan0009314	FBgn0032061	CG9314	CG9314	FBgn0044620
CR31486	FBan0031486	FBgn0011904	tRNA:K5:84ABa	transfer RNA:lys5:84AB	FBgn0003793,FBgn0011901,FBgn0051486,FBgn0060176
CR31487	FBan0031487	FBgn0026163	tRNA:K5:84ABc	tRNA:K5:84ABc	FBgn0003793,FBgn0011901,FBgn0051487,FBgn0060175
CG9316	FBan0009316	FBgn0032878	CG9316	CG9316	
CG9317	FBan0009317	FBgn0032879	CG9317	CG9317	
